Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-13.64%,-5.39%,-8.15%,-9.45%,-11.91%,-6.81%,-5.95%,0.75%,-10.10%,-5.48%,-10.57%
3Y (ann.),-6.93%,-4.16%,-3.73%,-6.00%,-6.38%,-2.79%,-3.07%,-4.49%,-4.83%,-0.37%,-6.30%
5Y (ann.),2.03%,4.44%,2.58%,-1.38%,3.84%,0.02%,5.30%,4.39%,3.31%,5.54%,3.12%
10Y (ann.),0.41%,3.38%,1.36%,-2.58%,2.75%,0.30%,3.20%,3.36%,1.32%,4.28%,1.38%
Since Incep. (ann.),0.41%,3.38%,1.36%,-2.58%,2.75%,0.30%,3.20%,3.36%,1.32%,4.28%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.09,0.63,0.26,-0.45,0.51,0.07,0.59,0.62,0.26,0.79,0.27
Daily Mean (ann.),0.35%,2.36%,1.00%,-1.73%,1.94%,0.28%,2.24%,2.35%,0.97%,2.96%,1.02%
Daily Vol (ann.),3.81%,3.78%,3.80%,3.83%,3.78%,3.81%,3.78%,3.78%,3.80%,3.77%,3.80%
Daily Skew,-0.01,0.02,-0.03,0.06,-0.03,0.07,-0.03,-0.02,-0.05,-0.02,-0.01
Daily Kurt,-0.12,-0.15,-0.10,-0.17,-0.10,-0.19,-0.10,-0.11,-0.09,-0.11,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.75%,-0.74%,-0.72%,-0.74%,-0.68%,-0.74%,-0.74%,-0.75%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.15,0.39,0.19,-0.15,0.31,0.13,0.35,0.36,0.24,0.47,0.19
Monthly Mean (ann.),1.84%,4.02%,2.11%,-1.75%,3.31%,1.33%,3.98%,3.67%,2.74%,4.87%,2.21%
Monthly Vol (ann.),11.87%,10.23%,10.92%,11.59%,10.81%,9.88%,11.24%,10.31%,11.63%,10.30%,11.92%
Monthly Skew,0.57,1.06,0.76,0.83,0.93,1.03,0.65,1.04,0.51,0.98,0.45
Monthly Kurt,-0.11,0.81,0.46,0.19,0.48,0.89,0.11,1.10,0.06,0.78,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,7.90%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.13%,-3.96%,-5.61%,-5.45%,-5.25%,-4.87%,-5.09%,-5.72%,-5.79%,-4.79%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.21,0.29,0.28,0.07,0.25,0.18,0.34,0.27,0.24,0.41,0.23
Yearly Mean,4.14%,6.04%,5.00%,1.24%,4.91%,2.30%,6.91%,6.45%,5.03%,6.98%,5.29%
Yearly Vol,19.78%,20.77%,17.74%,18.40%,19.99%,12.92%,20.58%,23.64%,21.40%,16.89%,22.70%
Yearly Skew,1.63,2.00,1.46,2.14,1.85,1.40,1.72,1.67,1.82,1.54,1.88
Yearly Kurt,3.07,4.26,2.62,4.69,3.78,2.06,3.22,2.59,3.59,3.09,3.81
Best Year,37.53%,42.41%,34.42%,33.90%,39.43%,23.44%,41.92%,46.19%,41.83%,35.31%,44.58%
Worst Year,-13.87%,-9.92%,-11.87%,-10.48%,-11.62%,-9.97%,-10.57%,-10.57%,-12.21%,-9.60%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.98%,-1.92%,-1.94%,-2.54%,-2.09%,-2.47%,-1.71%,-1.47%,-1.77%,-1.69%,-1.75%
Avg. Drawdown Days,64.59,68.30,64.48,86.64,55.58,79.42,49.73,57.19,66.68,47.92,61.80
Avg. Up Month,3.11%,2.59%,2.92%,3.06%,3.37%,2.71%,2.91%,2.74%,2.96%,2.43%,2.87%
Avg. Down Month,-2.38%,-1.85%,-2.03%,-2.42%,-1.66%,-1.74%,-2.02%,-1.65%,-2.26%,-1.82%,-2.58%
Win Year %,40.00%,40.00%,60.00%,20.00%,40.00%,40.00%,40.00%,40.00%,40.00%,80.00%,40.00%
Win 12m %,56.36%,54.55%,65.45%,36.36%,63.64%,60.00%,69.09%,56.36%,60.00%,76.36%,56.36%
