Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-7.24%,-3.21%,-2.32%,-1.52%,-0.89%,-3.78%,-1.68%,-5.89%,-3.85%,-6.16%,-10.57%
3Y (ann.),-1.61%,-1.18%,-2.59%,-0.10%,-0.35%,-2.23%,-1.13%,0.73%,-0.66%,0.00%,-6.30%
5Y (ann.),3.11%,3.89%,3.85%,6.33%,7.63%,3.60%,3.52%,8.06%,6.80%,6.23%,3.12%
10Y (ann.),1.53%,2.04%,2.19%,4.93%,6.30%,2.63%,2.09%,6.87%,6.00%,5.47%,1.38%
Since Incep. (ann.),1.53%,2.04%,2.19%,4.93%,6.30%,2.63%,2.09%,6.87%,6.00%,5.47%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.29,0.39,0.41,0.90,1.15,0.49,0.40,1.25,1.09,1.00,0.27
Daily Mean (ann.),1.12%,1.47%,1.57%,3.39%,4.29%,1.86%,1.50%,4.66%,4.09%,3.75%,1.02%
Daily Vol (ann.),3.80%,3.79%,3.79%,3.76%,3.74%,3.78%,3.79%,3.74%,3.75%,3.75%,3.80%
Daily Skew,-0.04,-0.02,-0.12,0.00,-0.00,-0.02,-0.03,-0.00,-0.05,-0.02,-0.01
Daily Kurt,-0.09,-0.11,-0.02,-0.13,-0.12,-0.11,-0.10,-0.13,-0.07,-0.11,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.73%,-0.74%,-0.74%,-0.68%,-0.73%,-0.75%,-0.75%,-0.72%,-0.74%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.24,0.37,0.30,0.61,0.71,0.37,0.34,0.72,0.70,0.63,0.19
Monthly Mean (ann.),2.26%,3.47%,2.90%,5.81%,6.77%,3.55%,3.10%,7.37%,6.34%,5.77%,2.21%
Monthly Vol (ann.),9.34%,9.42%,9.78%,9.56%,9.56%,9.65%,9.05%,10.19%,9.03%,9.14%,11.92%
Monthly Skew,1.40,1.32,1.31,1.35,1.25,1.34,1.51,1.04,1.32,1.40,0.45
Monthly Kurt,2.09,1.98,1.41,1.38,1.15,1.70,2.34,0.51,1.58,1.55,-0.31
Best Month,8.58%,8.63%,8.63%,8.63%,8.63%,8.63%,8.41%,8.63%,8.63%,8.63%,8.69%
Worst Month,-3.70%,-5.23%,-3.22%,-3.56%,-3.11%,-4.56%,-3.68%,-3.89%,-3.48%,-3.07%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.29,0.27,0.29,0.38,0.44,0.26,0.28,0.45,0.48,0.45,0.23
Yearly Mean,4.80%,4.14%,4.67%,6.96%,8.97%,4.31%,3.60%,9.60%,8.37%,7.72%,5.29%
Yearly Vol,16.69%,15.14%,16.05%,18.09%,20.50%,16.65%,12.69%,21.12%,17.60%,17.13%,22.70%
Yearly Skew,1.65,1.65,1.27,1.93,1.98,1.51,1.57,1.78,1.82,1.69,1.88
Yearly Kurt,2.85,2.70,1.57,3.98,4.22,2.51,2.61,3.71,3.66,3.55,3.81
Best Year,32.92%,29.59%,30.48%,38.42%,44.81%,31.99%,24.81%,45.87%,38.66%,36.91%,44.58%
Worst Year,-9.05%,-7.15%,-10.36%,-7.07%,-7.22%,-9.75%,-6.54%,-9.35%,-6.49%,-8.43%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.97%,-2.02%,-2.39%,-1.33%,-1.31%,-1.42%,-2.35%,-1.47%,-1.57%,-1.35%,-1.75%
Avg. Drawdown Days,75.56,75.44,90.24,52.43,31.68,72.00,105.72,45.59,42.90,40.18,61.80
Avg. Up Month,2.23%,2.44%,2.65%,2.60%,2.83%,2.37%,2.30%,2.68%,2.54%,2.77%,2.87%
Avg. Down Month,-1.56%,-1.44%,-1.58%,-1.33%,-1.26%,-1.60%,-1.39%,-1.65%,-1.20%,-1.25%,-2.58%
Win Year %,40.00%,40.00%,60.00%,60.00%,80.00%,60.00%,60.00%,80.00%,80.00%,80.00%,40.00%
Win 12m %,63.64%,70.91%,70.91%,76.36%,80.00%,76.36%,65.45%,85.45%,85.45%,81.82%,56.36%
