Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-19.11%,-11.38%,-16.14%,-24.83%,-12.20%,-17.32%,-20.36%,-14.84%,-15.82%,-17.00%,-10.57%
3Y (ann.),-14.76%,-16.22%,-15.06%,-19.34%,-15.62%,-17.74%,-17.36%,-15.44%,-17.38%,-19.48%,-6.30%
5Y (ann.),-15.73%,-17.28%,-13.01%,-19.78%,-15.47%,-17.77%,-18.54%,-17.04%,-17.39%,-17.34%,3.12%
10Y (ann.),-15.62%,-17.28%,-13.54%,-18.76%,-16.03%,-17.69%,-18.39%,-17.19%,-17.80%,-16.80%,1.38%
Since Incep. (ann.),-15.62%,-17.28%,-13.54%,-18.76%,-16.03%,-17.69%,-18.39%,-17.19%,-17.80%,-16.80%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-3.04,-3.38,-2.56,-3.68,-3.07,-3.42,-3.61,-3.35,-3.50,-3.24,0.27
Daily Mean (ann.),-11.64%,-13.01%,-9.96%,-14.26%,-11.98%,-13.35%,-13.94%,-12.93%,-13.45%,-12.61%,1.02%
Daily Vol (ann.),3.83%,3.84%,3.89%,3.87%,3.90%,3.90%,3.86%,3.86%,3.85%,3.89%,3.80%
Daily Skew,0.01,-0.01,0.01,-0.08,-0.01,-0.05,0.02,0.01,-0.04,0.05,-0.01
Daily Kurt,-0.14,-0.07,-0.21,-0.17,-0.17,-0.03,-0.14,-0.04,-0.13,-0.08,-0.12
Best Day,0.70%,0.68%,0.72%,0.65%,0.74%,0.71%,0.72%,0.71%,0.65%,0.73%,0.75%
Worst Day,-0.84%,-0.85%,-0.81%,-0.84%,-0.78%,-0.85%,-0.84%,-0.82%,-0.82%,-0.85%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-3.27,-3.94,-2.65,-3.84,-3.79,-3.66,-4.54,-4.33,-3.50,-3.88,0.19
Monthly Mean (ann.),-17.25%,-18.94%,-14.14%,-21.00%,-17.30%,-19.17%,-19.84%,-18.74%,-19.12%,-18.34%,2.21%
Monthly Vol (ann.),5.28%,4.81%,5.34%,5.47%,4.57%,5.23%,4.37%,4.33%,5.46%,4.72%,11.92%
Monthly Skew,0.42,-0.37,-0.13,0.34,0.05,-0.16,-0.15,-0.42,-0.14,0.30,0.45
Monthly Kurt,0.11,-0.09,-0.39,0.47,0.67,-0.04,-0.55,0.81,0.62,0.05,-0.31
Best Month,3.15%,0.76%,2.33%,3.08%,2.06%,2.17%,0.77%,1.25%,2.22%,2.24%,8.69%
Worst Month,-4.36%,-5.68%,-5.31%,-5.65%,-5.36%,-5.51%,-4.77%,-5.65%,-5.71%,-4.33%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-3.17,-2.44,-3.13,-2.59,-2.53,-5.04,-4.47,-2.93,-3.15,-3.93,0.23
Yearly Mean,-13.62%,-16.38%,-11.62%,-17.55%,-13.77%,-15.74%,-16.14%,-15.20%,-16.09%,-15.92%,5.29%
Yearly Vol,4.29%,6.71%,3.72%,6.77%,5.45%,3.12%,3.61%,5.18%,5.11%,4.05%,22.70%
Yearly Skew,0.42,1.09,-1.31,0.14,1.04,0.33,1.68,1.90,1.18,1.94,1.88
Yearly Kurt,-3.04,0.91,0.65,-2.94,0.99,1.68,3.37,3.62,1.40,3.85,3.81
Best Year,-8.68%,-5.88%,-8.91%,-10.23%,-5.25%,-11.17%,-10.01%,-6.24%,-7.96%,-8.89%,44.58%
Worst Year,-17.60%,-23.12%,-17.51%,-24.54%,-19.09%,-19.90%,-19.46%,-18.52%,-21.04%,-18.64%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-12.44%,-16.60%,-55.37%,-17.37%,-15.73%,-33.41%,-67.20%,-32.70%,-33.25%,-21.92%,-1.75%
Avg. Drawdown Days,397.00,497.75,1997.00,496.75,498.25,998.00,1998.00,995.50,998.00,665.33,61.80
Avg. Up Month,0.87%,0.34%,0.76%,0.74%,0.79%,0.91%,0.40%,0.62%,0.90%,0.78%,2.87%
Avg. Down Month,-2.01%,-1.93%,-1.81%,-2.20%,-1.80%,-1.90%,-1.90%,-1.70%,-2.05%,-1.85%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
