Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),14.46%,17.13%,14.61%,16.89%,11.52%,11.79%,16.35%,11.53%,11.82%,8.20%,-6.30%
5Y (ann.),18.42%,21.40%,16.45%,20.24%,16.64%,16.90%,19.31%,19.24%,17.42%,12.81%,3.12%
10Y (ann.),18.21%,19.79%,15.56%,18.98%,15.98%,16.07%,17.49%,18.12%,16.83%,12.09%,1.38%
Since Incep. (ann.),18.21%,19.79%,15.56%,18.98%,15.98%,16.07%,17.49%,18.12%,16.83%,12.09%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.08,3.37,2.66,3.22,2.74,2.75,2.97,3.07,2.87,2.08,0.27
Daily Mean (ann.),11.61%,12.53%,10.05%,12.06%,10.30%,10.36%,11.20%,11.56%,10.81%,7.95%,1.02%
Daily Vol (ann.),3.77%,3.72%,3.77%,3.74%,3.77%,3.76%,3.77%,3.77%,3.77%,3.82%,3.80%
Daily Skew,-0.04,-0.00,-0.04,-0.09,-0.03,-0.05,-0.02,-0.02,-0.02,-0.01,-0.01
Daily Kurt,-0.16,-0.21,-0.11,-0.07,-0.06,-0.11,-0.11,-0.10,-0.12,-0.14,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.68%,-0.72%,-0.70%,-0.75%,-0.75%,-0.73%,-0.83%,-0.82%,-0.74%,-0.68%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.05,2.10,1.79,2.11,1.94,1.86,2.00,1.96,1.99,1.38,0.19
Monthly Mean (ann.),17.54%,19.33%,14.96%,17.89%,16.11%,15.61%,16.76%,17.15%,16.28%,11.85%,2.21%
Monthly Vol (ann.),8.54%,9.22%,8.38%,8.48%,8.28%,8.40%,8.37%,8.75%,8.18%,8.60%,11.92%
Monthly Skew,1.03,0.81,1.28,0.69,1.16,1.07,1.08,1.10,1.01,0.83,0.45
Monthly Kurt,0.88,0.12,1.53,0.85,1.47,1.03,1.08,0.92,1.51,1.44,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.65%,-2.89%,-2.88%,-3.92%,-3.23%,-2.38%,-2.34%,-2.55%,-2.98%,-4.68%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.56,1.23,1.31,1.35,1.12,1.19,1.42,1.00,1.30,0.88,0.23
Yearly Mean,17.13%,19.84%,16.67%,19.40%,16.82%,16.89%,18.27%,18.01%,16.77%,13.71%,5.29%
Yearly Vol,10.97%,16.14%,12.69%,14.33%,15.00%,14.16%,12.82%,17.99%,12.95%,15.60%,22.70%
Yearly Skew,0.42,0.48,0.09,1.17,1.50,0.37,0.40,0.25,-0.33,1.62,1.88
Yearly Kurt,1.55,-1.25,-0.30,2.74,3.11,-0.80,1.53,1.84,-0.65,2.58,3.81
Best Year,33.35%,42.19%,33.79%,42.66%,41.92%,36.69%,37.16%,44.22%,32.63%,39.84%,44.58%
Worst Year,2.87%,3.13%,0.41%,3.16%,1.70%,1.38%,1.52%,-6.37%,-0.89%,1.88%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.80%,-0.66%,-0.78%,-0.63%,-0.76%,-0.73%,-0.72%,-0.65%,-0.69%,-0.99%,-1.75%
Avg. Drawdown Days,16.11,13.47,16.79,11.97,17.62,16.21,14.95,13.72,15.92,22.42,61.80
Avg. Up Month,2.43%,2.72%,2.35%,2.37%,2.40%,2.34%,2.40%,2.26%,2.34%,2.19%,2.87%
Avg. Down Month,-0.89%,-1.08%,-0.91%,-1.20%,-0.87%,-1.04%,-1.04%,-1.12%,-1.03%,-1.37%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,80.00%,80.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,98.18%,100.00%,98.18%,98.18%,100.00%,98.18%,56.36%
