Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,17.28%,-12.50%,12.94%,-10.46%,-15.00%,-19.84%,-10.46%,-47.66%,-13.00%,-10.46%,-10.57%
3Y (ann.),2.41%,-9.24%,1.13%,-6.40%,-8.81%,-24.86%,-6.40%,-48.15%,-10.43%,-8.78%,-6.30%
5Y (ann.),8.81%,-1.42%,7.99%,3.09%,1.49%,-18.09%,3.09%,-40.16%,-1.62%,1.51%,3.12%
10Y (ann.),6.50%,-3.53%,5.77%,1.38%,-0.06%,-18.96%,1.09%,-42.09%,-3.47%,0.05%,1.38%
Since Incep. (ann.),6.50%,-3.53%,5.77%,1.38%,-0.06%,-18.96%,1.09%,-42.09%,-3.47%,0.05%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,1.16,-0.57,1.04,0.27,0.01,-2.19,0.21,-5.14,-0.55,0.03,0.27
Daily Mean (ann.),4.42%,-2.39%,3.94%,1.01%,0.03%,-14.29%,0.82%,-37.40%,-2.34%,0.11%,1.02%
Daily Vol (ann.),3.80%,4.21%,3.81%,3.80%,3.95%,6.53%,3.84%,7.28%,4.25%,3.94%,3.80%
Daily Skew,-0.10,-0.75,-0.10,-0.01,-0.33,-1.33,-0.10,-1.06,-0.72,-0.23,-0.01
Daily Kurt,-0.06,2.86,0.02,-0.12,1.22,1.64,0.25,0.45,2.34,0.71,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.81%,-1.59%,-1.02%,-0.74%,-1.39%,-1.51%,-1.27%,-1.61%,-1.48%,-1.30%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.60,-0.19,0.54,0.18,0.06,-1.56,0.15,-2.84,-0.21,0.07,0.19
Monthly Mean (ann.),7.15%,-2.40%,6.45%,2.16%,0.74%,-19.56%,1.89%,-51.57%,-2.68%,0.88%,2.21%
Monthly Vol (ann.),11.95%,12.66%,11.99%,12.10%,12.34%,12.52%,12.21%,18.16%,12.86%,12.49%,11.92%
Monthly Skew,0.20,0.43,0.24,0.47,0.50,0.73,0.45,0.83,0.50,0.40,0.45
Monthly Kurt,-0.28,-0.19,-0.29,-0.22,-0.30,0.80,-0.24,0.25,-0.38,-0.27,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.03%,-6.60%,-6.03%,-6.03%,-6.03%,-9.71%,-6.03%,-14.09%,-6.30%,-6.84%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.52,0.06,0.48,0.23,0.16,-1.51,0.23,-1.67,0.08,0.16,0.23
Yearly Mean,10.73%,1.27%,9.87%,5.33%,3.78%,-15.85%,5.33%,-34.73%,1.99%,3.84%,5.29%
Yearly Vol,20.69%,20.24%,20.52%,22.94%,23.41%,10.47%,22.94%,20.74%,23.58%,23.60%,22.70%
Yearly Skew,1.50,1.80,1.76,1.85,2.04,1.87,1.85,1.59,1.81,1.94,1.88
Yearly Kurt,2.19,3.54,3.36,3.71,4.35,3.86,3.71,2.76,3.47,3.96,3.81
Best Year,44.91%,36.01%,44.91%,44.91%,44.91%,2.27%,44.91%,0.04%,42.45%,44.91%,44.58%
Worst Year,-7.46%,-15.03%,-7.46%,-13.05%,-13.05%,-24.44%,-13.05%,-52.39%,-15.52%,-13.05%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.35%,-4.11%,-1.58%,-1.75%,-1.95%,-68.50%,-1.80%,-95.08%,-3.00%,-1.93%,-1.75%
Avg. Drawdown Days,51.00,137.50,61.77,61.77,61.77,1996.00,61.93,1992.00,90.71,61.70,61.80
Avg. Up Month,2.96%,3.03%,2.98%,3.09%,3.17%,2.90%,3.09%,5.03%,3.28%,3.09%,2.87%
Avg. Down Month,-2.53%,-2.80%,-2.50%,-2.47%,-2.60%,-3.50%,-2.51%,-6.20%,-2.88%,-2.67%,-2.58%
Win Year %,80.00%,20.00%,80.00%,60.00%,20.00%,20.00%,60.00%,20.00%,40.00%,40.00%,40.00%
Win 12m %,63.64%,41.82%,61.82%,56.36%,49.09%,9.09%,56.36%,3.64%,40.00%,49.09%,56.36%
