Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-10.46%,-10.07%,-10.46%,-10.46%,-10.46%,-0.65%,-10.46%,-10.46%,-10.46%,-9.73%,-10.57%
3Y (ann.),-6.40%,-6.27%,-6.40%,-6.40%,-6.40%,-0.24%,-6.43%,-6.40%,-6.40%,-6.03%,-6.30%
5Y (ann.),3.09%,3.23%,2.97%,3.09%,3.09%,7.26%,3.07%,3.04%,3.09%,3.66%,3.12%
10Y (ann.),1.38%,1.50%,1.27%,1.38%,1.38%,6.30%,1.36%,1.35%,1.38%,1.95%,1.38%
Since Incep. (ann.),1.38%,1.50%,1.27%,1.38%,1.38%,6.30%,1.36%,1.35%,1.38%,1.95%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.27,0.29,0.25,0.27,0.27,1.14,0.26,0.26,0.27,0.37,0.27
Daily Mean (ann.),1.01%,1.10%,0.94%,1.01%,1.01%,4.29%,1.00%,0.99%,1.01%,1.40%,1.02%
Daily Vol (ann.),3.80%,3.80%,3.80%,3.80%,3.80%,3.74%,3.80%,3.80%,3.80%,3.79%,3.80%
Daily Skew,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,0.00,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.12,-0.12,-0.12,-0.13,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.18,0.19,0.17,0.18,0.18,0.67,0.18,0.18,0.18,0.22,0.19
Monthly Mean (ann.),2.16%,2.29%,2.06%,2.16%,2.16%,6.52%,2.15%,2.13%,2.16%,2.66%,2.21%
Monthly Vol (ann.),12.10%,12.10%,12.08%,12.10%,12.10%,9.69%,12.11%,12.10%,12.10%,11.88%,11.92%
Monthly Skew,0.47,0.46,0.48,0.47,0.47,1.25,0.47,0.48,0.47,0.52,0.45
Monthly Kurt,-0.22,-0.22,-0.19,-0.22,-0.22,0.85,-0.22,-0.21,-0.22,-0.13,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-2.78%,-6.03%,-6.03%,-6.03%,-5.68%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.23,0.24,0.23,0.23,0.23,0.47,0.23,0.23,0.23,0.25,0.23
Yearly Mean,5.33%,5.42%,5.33%,5.33%,5.33%,8.83%,5.31%,5.26%,5.33%,5.71%,5.29%
Yearly Vol,22.94%,22.93%,22.94%,22.94%,22.94%,18.79%,22.96%,22.80%,22.94%,22.62%,22.70%
Yearly Skew,1.85,1.83,1.85,1.85,1.85,1.68,1.85,1.84,1.85,1.75,1.88
Yearly Kurt,3.71,3.66,3.71,3.71,3.71,3.32,3.71,3.70,3.71,3.42,3.81
Best Year,44.91%,44.91%,44.91%,44.91%,44.91%,40.76%,44.91%,44.58%,44.91%,44.36%,44.58%
Worst Year,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-8.12%,-13.05%,-13.05%,-13.05%,-13.52%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.75%,-1.73%,-1.75%,-1.75%,-1.75%,-1.45%,-1.75%,-1.75%,-1.75%,-1.76%,-1.75%
Avg. Drawdown Days,61.77,61.70,61.80,61.77,61.77,44.95,61.77,61.77,61.77,66.18,61.80
Avg. Up Month,3.09%,3.00%,3.07%,3.09%,3.09%,3.17%,3.09%,3.08%,3.09%,3.05%,2.87%
Avg. Down Month,-2.47%,-2.53%,-2.47%,-2.47%,-2.47%,-1.32%,-2.47%,-2.47%,-2.47%,-2.36%,-2.58%
Win Year %,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,40.00%
Win 12m %,56.36%,56.36%,56.36%,56.36%,56.36%,76.36%,56.36%,56.36%,56.36%,60.00%,56.36%
