Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-19.65%,-13.29%,-14.00%,-24.28%,-12.17%,-16.96%,-19.69%,-15.66%,-16.97%,-17.31%,-10.57%
3Y (ann.),-15.44%,-16.95%,-14.02%,-19.62%,-15.35%,-17.50%,-16.23%,-15.36%,-17.55%,-19.44%,-6.30%
5Y (ann.),-16.34%,-18.08%,-12.76%,-19.74%,-15.30%,-17.45%,-17.31%,-17.50%,-17.58%,-17.50%,3.12%
10Y (ann.),-16.24%,-18.20%,-13.28%,-18.77%,-15.76%,-17.37%,-17.39%,-17.42%,-17.82%,-17.08%,1.38%
Since Incep. (ann.),-16.24%,-18.20%,-13.28%,-18.77%,-15.76%,-17.37%,-17.39%,-17.42%,-17.82%,-17.08%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-3.12,-3.54,-2.51,-3.67,-3.02,-3.36,-3.37,-3.37,-3.46,-3.30,0.27
Daily Mean (ann.),-12.14%,-13.78%,-9.75%,-14.27%,-11.76%,-13.08%,-13.10%,-13.13%,-13.46%,-12.84%,1.02%
Daily Vol (ann.),3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.89%,3.80%
Daily Skew,0.04,-0.03,0.01,-0.07,-0.01,-0.07,-0.00,0.00,-0.03,0.05,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.72%,0.75%,0.63%,0.72%,0.71%,0.72%,0.71%,0.75%,0.72%,0.75%
Worst Day,-0.82%,-0.85%,-0.81%,-0.85%,-0.85%,-0.85%,-0.85%,-0.85%,-0.82%,-0.85%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-3.42,-4.19,-2.77,-4.15,-3.67,-3.70,-4.22,-4.21,-3.55,-3.88,0.19
Monthly Mean (ann.),-17.75%,-20.02%,-13.90%,-21.02%,-17.00%,-18.68%,-18.68%,-19.08%,-19.23%,-18.49%,2.21%
Monthly Vol (ann.),5.19%,4.77%,5.02%,5.07%,4.63%,5.05%,4.43%,4.53%,5.42%,4.77%,11.92%
Monthly Skew,0.43,-0.76,-0.19,0.45,-0.07,-0.27,-0.09,-0.99,-0.22,0.35,0.45
Monthly Kurt,0.65,1.23,-0.07,0.69,0.86,0.32,-0.71,3.06,1.15,0.16,-0.31
Best Month,3.35%,0.51%,2.23%,2.97%,2.17%,2.08%,1.17%,1.45%,2.09%,2.14%,8.69%
Worst Month,-4.54%,-6.62%,-5.03%,-5.17%,-5.64%,-5.31%,-4.38%,-6.77%,-6.18%,-4.23%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-3.99,-2.60,-4.13,-2.61,-2.64,-4.74,-4.19,-2.88,-3.46,-3.96,0.23
Yearly Mean,-14.26%,-17.11%,-11.33%,-17.49%,-13.64%,-15.52%,-14.96%,-15.56%,-16.23%,-15.93%,5.29%
Yearly Vol,3.57%,6.57%,2.74%,6.69%,5.17%,3.28%,3.57%,5.39%,4.69%,4.02%,22.70%
Yearly Skew,0.50,0.70,-0.65,0.41,0.63,-0.23,1.97,1.28,1.41,1.89,1.88
Yearly Kurt,-2.19,0.26,1.46,-2.76,0.16,1.83,4.15,1.46,1.62,3.82,3.81
Best Year,-9.58%,-7.37%,-7.95%,-9.32%,-5.99%,-11.07%,-8.73%,-6.89%,-8.59%,-8.97%,44.58%
Worst Year,-17.75%,-24.56%,-15.49%,-23.71%,-19.32%,-20.28%,-17.73%,-19.96%,-20.22%,-19.11%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-10.64%,-22.78%,-27.51%,-23.11%,-15.58%,-32.62%,-64.97%,-32.97%,-22.29%,-64.12%,-1.75%
Avg. Drawdown Days,331.17,664.00,998.00,662.33,498.50,998.00,1998.00,995.50,664.67,1998.00,61.80
Avg. Up Month,0.88%,0.24%,0.72%,0.87%,0.64%,0.69%,0.69%,0.40%,0.84%,0.75%,2.87%
Avg. Down Month,-1.96%,-1.90%,-1.72%,-2.07%,-1.79%,-1.87%,-1.74%,-1.79%,-2.05%,-1.96%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
