Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-4.85%,-3.10%,-3.52%,-5.79%,-4.61%,-3.71%,-0.07%,-4.96%,-6.77%,-1.75%,-10.57%
3Y (ann.),-1.68%,-1.50%,-0.58%,-1.94%,-2.17%,-0.63%,-0.05%,-1.34%,-0.04%,1.05%,-6.30%
5Y (ann.),5.97%,5.64%,4.78%,5.98%,6.44%,7.34%,7.21%,6.02%,8.02%,5.94%,3.12%
10Y (ann.),3.88%,3.99%,4.06%,4.70%,5.85%,6.18%,5.40%,4.63%,6.99%,4.83%,1.38%
Since Incep. (ann.),3.88%,3.99%,4.06%,4.70%,5.85%,6.18%,5.40%,4.63%,6.99%,4.83%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.72,0.73,0.75,0.86,1.06,1.12,0.99,0.85,1.27,0.88,0.27
Daily Mean (ann.),2.70%,2.77%,2.82%,3.24%,3.99%,4.21%,3.70%,3.20%,4.73%,3.33%,1.02%
Daily Vol (ann.),3.77%,3.77%,3.77%,3.76%,3.75%,3.75%,3.75%,3.76%,3.74%,3.76%,3.80%
Daily Skew,0.05,0.02,-0.02,0.01,-0.01,-0.07,-0.01,-0.03,0.04,-0.01,-0.01
Daily Kurt,-0.18,-0.15,-0.11,-0.14,-0.12,-0.05,-0.11,-0.10,-0.18,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.72%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%,-0.74%,-0.73%,-0.74%,-0.71%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.49,0.47,0.46,0.51,0.64,0.68,0.58,0.50,0.79,0.56,0.19
Monthly Mean (ann.),4.75%,4.64%,4.70%,5.02%,6.24%,6.56%,5.91%,5.24%,7.63%,5.53%,2.21%
Monthly Vol (ann.),9.62%,9.76%,10.13%,9.81%,9.74%,9.59%,10.12%,10.42%,9.71%,9.94%,11.92%
Monthly Skew,1.16,1.29,1.05,0.96,1.09,1.15,0.89,0.96,0.98,0.98,0.45
Monthly Kurt,1.43,1.26,0.75,0.53,1.04,1.28,0.63,0.51,0.88,1.29,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-4.00%,-3.33%,-4.84%,-4.24%,-3.96%,-4.29%,-4.36%,-4.52%,-3.91%,-5.31%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.36,0.37,0.39,0.36,0.40,0.45,0.49,0.40,0.48,0.44,0.23
Yearly Mean,6.56%,6.89%,7.35%,7.74%,8.26%,7.58%,7.92%,7.41%,8.60%,7.44%,5.29%
Yearly Vol,18.42%,18.78%,18.80%,21.65%,20.51%,16.73%,16.17%,18.56%,17.74%,16.83%,22.70%
Yearly Skew,1.58,1.77,1.58,1.59,1.45,1.28,1.65,1.29,1.10,1.32,1.88
Yearly Kurt,2.91,3.45,3.15,3.05,2.41,2.09,3.49,2.84,2.49,1.93,3.81
Best Year,37.47%,39.03%,39.00%,44.18%,42.15%,34.71%,35.37%,37.88%,37.12%,34.80%,44.58%
Worst Year,-10.50%,-8.60%,-10.73%,-12.35%,-10.97%,-9.57%,-7.67%,-12.77%,-11.66%,-8.38%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.78%,-1.90%,-1.75%,-1.37%,-1.08%,-1.46%,-1.62%,-1.86%,-1.25%,-1.81%,-1.75%
Avg. Drawdown Days,52.54,66.04,55.48,57.09,31.82,34.25,43.36,46.33,34.53,53.91,61.80
Avg. Up Month,2.70%,2.97%,2.93%,2.51%,2.53%,2.61%,2.66%,3.00%,2.57%,2.33%,2.87%
Avg. Down Month,-1.46%,-1.34%,-1.52%,-1.74%,-1.56%,-1.33%,-1.74%,-1.63%,-1.62%,-1.58%,-2.58%
Win Year %,60.00%,60.00%,60.00%,60.00%,60.00%,80.00%,80.00%,80.00%,80.00%,60.00%,40.00%
Win 12m %,67.27%,74.55%,76.36%,74.55%,74.55%,87.27%,80.00%,76.36%,90.91%,78.18%,56.36%
