Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,5.41%,11.07%,4.56%,4.31%,3.46%,6.69%,9.16%,4.54%,1.48%,5.87%,-10.57%
3Y (ann.),6.44%,10.19%,8.13%,7.27%,7.38%,6.85%,11.06%,7.43%,7.39%,7.41%,-6.30%
5Y (ann.),13.76%,15.64%,13.24%,13.07%,14.37%,13.73%,16.63%,13.48%,13.85%,13.09%,3.12%
10Y (ann.),11.60%,14.53%,12.45%,11.64%,13.57%,12.10%,14.15%,12.42%,13.16%,12.65%,1.38%
Since Incep. (ann.),11.60%,14.53%,12.45%,11.64%,13.57%,12.10%,14.15%,12.42%,13.16%,12.65%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.05,2.55,2.20,2.06,2.39,2.14,2.49,2.19,2.32,2.23,0.27
Daily Mean (ann.),7.64%,9.43%,8.16%,7.66%,8.85%,7.95%,9.20%,8.15%,8.60%,8.29%,1.02%
Daily Vol (ann.),3.72%,3.69%,3.71%,3.72%,3.70%,3.72%,3.70%,3.71%,3.71%,3.71%,3.80%
Daily Skew,0.05,-0.01,0.01,-0.05,0.01,-0.07,-0.03,-0.04,0.05,-0.03,-0.01
Daily Kurt,-0.18,-0.11,-0.14,-0.08,-0.14,-0.06,-0.09,-0.09,-0.18,-0.10,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.72%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%,-0.74%,-0.72%,-0.74%,-0.66%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.36,1.70,1.40,1.38,1.54,1.44,1.62,1.27,1.49,1.44,0.19
Monthly Mean (ann.),11.76%,14.32%,12.30%,11.46%,13.28%,12.21%,13.87%,12.07%,13.17%,12.56%,2.21%
Monthly Vol (ann.),8.64%,8.44%,8.80%,8.30%,8.62%,8.46%,8.55%,9.53%,8.83%,8.71%,11.92%
Monthly Skew,1.21,1.38,1.29,1.23,1.24,1.22,1.17,1.08,1.23,1.22,0.45
Monthly Kurt,1.70,1.68,1.35,1.65,1.46,1.81,1.32,0.77,1.30,1.78,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-3.23%,-2.48%,-2.81%,-3.37%,-2.62%,-4.11%,-2.59%,-2.92%,-2.71%,-3.46%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.76,0.88,0.87,0.79,0.81,0.90,1.03,0.77,0.87,0.76,0.23
Yearly Mean,13.25%,15.59%,13.54%,13.64%,14.94%,12.75%,16.36%,13.90%,14.01%,13.79%,5.29%
Yearly Vol,17.45%,17.67%,15.55%,17.17%,18.49%,14.21%,15.81%,18.05%,16.11%,18.24%,22.70%
Yearly Skew,1.38,1.06,0.76,1.21,0.94,1.34,0.60,0.76,0.17,1.16,1.88
Yearly Kurt,2.33,1.37,1.83,2.40,2.43,2.67,2.19,2.07,1.65,1.48,3.81
Best Year,41.88%,43.45%,37.54%,41.48%,44.22%,36.10%,40.49%,41.86%,37.15%,42.84%,44.58%
Worst Year,-3.99%,-2.49%,-5.35%,-4.95%,-7.18%,-2.15%,-3.95%,-8.31%,-7.95%,-4.30%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.93%,-0.71%,-0.72%,-0.72%,-0.73%,-0.81%,-0.76%,-0.99%,-0.81%,-0.79%,-1.75%
Avg. Drawdown Days,27.76,16.70,17.59,19.11,17.25,20.42,15.80,25.06,19.26,19.67,61.80
Avg. Up Month,2.17%,2.44%,2.25%,2.25%,2.19%,2.15%,2.39%,2.61%,2.66%,2.19%,2.87%
Avg. Down Month,-1.19%,-0.80%,-1.07%,-0.98%,-1.16%,-1.05%,-0.95%,-1.25%,-0.97%,-1.18%,-2.58%
Win Year %,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,40.00%
Win 12m %,96.36%,100.00%,98.18%,96.36%,96.36%,96.36%,96.36%,92.73%,96.36%,96.36%,56.36%
