Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,5.28%,5.19%,10.57%,1.85%,13.05%,4.61%,7.54%,-1.87%,-1.38%,13.70%,-10.57%
3Y (ann.),14.01%,9.58%,13.78%,8.27%,15.87%,7.40%,12.99%,12.02%,5.89%,18.96%,-6.30%
5Y (ann.),20.44%,17.12%,21.27%,16.81%,22.14%,14.29%,19.46%,20.00%,12.56%,21.93%,3.12%
10Y (ann.),18.93%,16.09%,19.98%,15.47%,19.77%,13.00%,16.89%,18.49%,10.92%,21.31%,1.38%
Since Incep. (ann.),18.93%,16.09%,19.98%,15.47%,19.77%,13.00%,16.89%,18.49%,10.92%,21.31%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.30,2.82,3.48,2.71,3.44,2.29,2.95,3.23,1.94,3.70,0.27
Daily Mean (ann.),12.03%,10.36%,12.64%,9.99%,12.52%,8.50%,10.84%,11.78%,7.22%,13.40%,1.02%
Daily Vol (ann.),3.65%,3.68%,3.63%,3.68%,3.64%,3.71%,3.67%,3.65%,3.73%,3.62%,3.80%
Daily Skew,0.00,0.02,-0.06,-0.06,-0.02,-0.01,-0.02,-0.02,-0.01,-0.03,-0.01
Daily Kurt,-0.13,-0.15,-0.05,-0.06,-0.10,-0.12,-0.10,-0.10,-0.12,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.65%,-0.66%,-0.68%,-0.72%,-0.65%,-0.74%,-0.66%,-0.65%,-0.72%,-0.68%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.03,1.72,2.23,1.74,2.15,1.33,1.94,2.01,1.14,2.40,0.19
Monthly Mean (ann.),18.07%,15.39%,18.66%,14.84%,18.57%,12.80%,16.53%,18.00%,10.95%,20.03%,2.21%
Monthly Vol (ann.),8.88%,8.94%,8.39%,8.54%,8.65%,9.59%,8.50%,8.94%,9.61%,8.33%,11.92%
Monthly Skew,0.93,1.03,1.19,1.29,1.05,1.00,1.23,0.92,1.11,1.08,0.45
Monthly Kurt,0.53,0.45,1.10,1.49,0.72,0.47,1.11,0.60,0.69,0.90,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.94%,-2.56%,-2.22%,-2.88%,-1.87%,-3.36%,-2.31%,-2.61%,-3.17%,-1.90%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.07,0.86,1.02,0.79,1.11,0.77,1.07,0.90,0.67,1.66,0.23
Yearly Mean,19.36%,16.98%,20.36%,15.92%,22.07%,14.65%,17.98%,19.73%,12.97%,21.21%,5.29%
Yearly Vol,18.15%,19.79%,20.04%,20.06%,19.97%,19.10%,16.85%,21.86%,19.27%,12.81%,22.70%
Yearly Skew,0.78,0.73,1.00,1.06,1.08,1.13,0.91,0.29,1.34,-0.56,1.88
Yearly Kurt,2.19,1.94,2.45,2.32,2.59,2.54,2.41,1.46,2.84,0.21,3.81
Best Year,47.59%,47.44%,52.30%,47.98%,54.17%,45.45%,44.59%,51.47%,44.70%,35.99%,44.58%
Worst Year,-2.98%,-7.47%,-3.18%,-7.05%,-1.02%,-7.02%,-2.31%,-9.31%,-7.60%,2.46%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.57%,-0.77%,-0.58%,-0.74%,-0.64%,-0.83%,-0.67%,-0.60%,-1.19%,-0.56%,-1.75%
Avg. Drawdown Days,13.98,18.60,12.06,16.32,13.84,21.96,14.53,11.96,31.50,11.75,61.80
Avg. Up Month,2.70%,2.66%,2.48%,2.40%,2.57%,2.70%,2.29%,2.50%,2.66%,2.53%,2.87%
Avg. Down Month,-1.00%,-0.92%,-0.68%,-0.89%,-0.92%,-1.23%,-0.83%,-1.12%,-1.26%,-0.75%,-2.58%
Win Year %,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,80.00%,100.00%,40.00%
Win 12m %,98.18%,98.18%,100.00%,98.18%,100.00%,96.36%,98.18%,96.36%,94.55%,100.00%,56.36%
