Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-11.99%,-4.65%,-6.08%,-16.98%,-3.76%,-9.14%,-12.04%,-7.11%,-9.11%,-9.29%,-10.57%
3Y (ann.),-7.03%,-8.94%,-6.04%,-11.65%,-7.30%,-9.91%,-8.29%,-7.13%,-9.72%,-12.02%,-6.30%
5Y (ann.),-8.09%,-9.92%,-4.58%,-12.07%,-7.26%,-9.76%,-9.54%,-9.22%,-9.67%,-9.86%,3.12%
10Y (ann.),-7.96%,-10.04%,-5.11%,-11.01%,-7.75%,-9.64%,-9.53%,-9.21%,-9.98%,-9.36%,1.38%
Since Incep. (ann.),-7.96%,-10.04%,-5.11%,-11.01%,-7.75%,-9.64%,-9.53%,-9.21%,-9.98%,-9.36%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.48,-1.89,-0.93,-2.09,-1.44,-1.81,-1.79,-1.72,-1.88,-1.75,0.27
Daily Mean (ann.),-5.65%,-7.23%,-3.55%,-7.98%,-5.49%,-6.92%,-6.84%,-6.59%,-7.18%,-6.71%,1.02%
Daily Vol (ann.),3.82%,3.82%,3.82%,3.82%,3.82%,3.82%,3.82%,3.82%,3.82%,3.82%,3.80%
Daily Skew,0.03,-0.03,0.01,-0.07,-0.00,-0.06,-0.00,0.01,-0.04,0.05,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.72%,0.75%,0.63%,0.72%,0.71%,0.72%,0.71%,0.75%,0.72%,0.75%
Worst Day,-0.77%,-0.80%,-0.76%,-0.80%,-0.80%,-0.80%,-0.80%,-0.80%,-0.77%,-0.80%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-1.67,-2.25,-0.99,-2.35,-1.77,-1.97,-2.23,-2.20,-1.89,-2.09,0.19
Monthly Mean (ann.),-8.54%,-10.69%,-5.03%,-12.04%,-8.08%,-9.94%,-9.76%,-9.74%,-10.24%,-9.82%,2.21%
Monthly Vol (ann.),5.12%,4.74%,5.08%,5.12%,4.56%,5.06%,4.38%,4.43%,5.42%,4.70%,11.92%
Monthly Skew,0.40,-0.68,-0.22,0.41,0.04,-0.28,-0.13,-0.91,-0.15,0.31,0.45
Monthly Kurt,0.42,0.75,-0.08,0.62,0.56,0.27,-0.77,2.58,0.91,0.12,-0.31
Best Month,3.93%,1.11%,2.89%,3.65%,2.88%,2.69%,1.68%,2.11%,2.81%,2.91%,8.69%
Worst Month,-3.68%,-5.58%,-4.46%,-4.65%,-4.59%,-4.79%,-3.56%,-5.74%,-5.19%,-3.51%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-2.49,-1.81,-1.54,-1.72,-1.53,-3.85,-4.37,-2.06,-2.74,-3.43,0.23
Yearly Mean,-6.74%,-9.85%,-3.95%,-10.47%,-6.43%,-8.50%,-7.88%,-8.10%,-9.15%,-9.04%,5.29%
Yearly Vol,2.70%,5.44%,2.56%,6.10%,4.20%,2.21%,1.80%,3.93%,3.34%,2.63%,22.70%
Yearly Skew,0.62,0.22,-1.09,0.25,-0.26,-1.82,1.07,0.69,0.48,1.08,1.88
Yearly Kurt,-0.43,-1.18,1.06,-2.64,-1.76,3.33,2.26,-1.31,-1.39,1.01,3.81
Best Year,-2.81%,-2.67%,-1.68%,-3.10%,-1.42%,-6.92%,-5.00%,-2.55%,-4.62%,-4.92%,44.58%
Worst Year,-9.50%,-16.40%,-7.98%,-16.40%,-11.71%,-12.28%,-9.93%,-11.62%,-12.88%,-11.71%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-6.52%,-7.81%,-13.35%,-5.87%,-7.60%,-14.78%,-42.52%,-21.31%,-14.99%,-22.00%,-1.75%
Avg. Drawdown Days,330.50,331.00,998.00,220.00,398.20,665.00,1998.00,995.00,664.67,998.50,61.80
Avg. Up Month,1.14%,0.54%,0.94%,0.79%,0.93%,0.67%,0.57%,0.58%,1.02%,0.88%,2.87%
Avg. Down Month,-1.42%,-1.67%,-1.38%,-1.75%,-1.29%,-1.60%,-1.47%,-1.34%,-1.57%,-1.47%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,1.82%,0.00%,20.00%,0.00%,9.09%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
