Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-12.24%,-0.49%,-5.78%,-4.95%,-7.64%,3.76%,4.47%,5.76%,-7.86%,-1.34%,-10.57%
3Y (ann.),-5.46%,0.04%,-1.74%,-1.75%,-0.46%,6.62%,2.88%,-0.55%,-3.43%,3.11%,-6.30%
5Y (ann.),3.56%,8.46%,4.50%,2.59%,9.38%,8.55%,10.15%,8.32%,4.66%,8.74%,3.12%
10Y (ann.),2.11%,7.66%,3.21%,1.44%,8.16%,9.14%,8.86%,7.47%,2.72%,7.46%,1.38%
Since Incep. (ann.),2.11%,7.66%,3.21%,1.44%,8.16%,9.14%,8.86%,7.47%,2.72%,7.46%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.40,1.37,0.59,0.28,1.46,1.63,1.58,1.34,0.51,1.34,0.27
Daily Mean (ann.),1.51%,5.16%,2.25%,1.06%,5.49%,6.10%,5.93%,5.04%,1.93%,5.04%,1.02%
Daily Vol (ann.),3.79%,3.76%,3.79%,3.80%,3.75%,3.74%,3.75%,3.76%,3.79%,3.76%,3.80%
Daily Skew,-0.01,0.02,-0.03,0.04,-0.04,0.05,-0.12,-0.03,-0.05,-0.02,-0.01
Daily Kurt,-0.12,-0.14,-0.11,-0.15,-0.09,-0.17,-0.03,-0.10,-0.10,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.74%,-0.72%,-0.74%,-0.63%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.29,0.83,0.37,0.20,0.82,1.05,0.95,0.76,0.35,0.79,0.19
Monthly Mean (ann.),3.39%,8.02%,3.91%,2.21%,8.39%,9.65%,9.08%,7.50%,4.04%,7.85%,2.21%
Monthly Vol (ann.),11.62%,9.70%,10.68%,11.04%,10.23%,9.16%,9.60%,9.86%,11.47%,9.91%,11.92%
Monthly Skew,0.57,1.07,0.75,0.81,0.83,0.92,1.06,1.01,0.49,0.99,0.45
Monthly Kurt,-0.08,0.89,0.50,0.31,0.51,0.75,0.88,1.17,0.09,0.83,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.01%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-5.94%,-3.40%,-5.56%,-5.07%,-4.87%,-4.30%,-3.64%,-5.34%,-5.74%,-4.45%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.28,0.46,0.38,0.25,0.50,0.78,0.59,0.42,0.29,0.59,0.23
Yearly Mean,5.51%,9.60%,6.82%,4.65%,9.96%,10.11%,10.63%,9.77%,6.20%,9.70%,5.29%
Yearly Vol,19.92%,20.66%,17.95%,18.42%,19.98%,12.91%,17.94%,23.49%,21.28%,16.52%,22.70%
Yearly Skew,1.60,1.91,1.41,1.99,1.35,0.83,2.01,1.58,1.80,1.44,1.88
Yearly Kurt,2.95,4.04,2.53,4.18,2.39,0.51,4.33,2.17,3.48,2.68,3.81
Best Year,38.98%,45.51%,36.45%,36.88%,42.69%,29.61%,42.12%,48.77%,42.71%,37.06%,44.58%
Worst Year,-12.87%,-7.45%,-10.67%,-8.76%,-10.38%,-4.26%,-3.14%,-7.20%,-10.64%,-6.76%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.92%,-1.33%,-1.85%,-1.89%,-1.28%,-1.06%,-1.07%,-1.17%,-1.64%,-1.24%,-1.75%
Avg. Drawdown Days,41.66,35.18,44.80,78.54,34.38,29.80,34.43,41.51,49.86,36.02,61.80
Avg. Up Month,2.99%,2.71%,2.90%,3.08%,2.65%,2.55%,2.60%,2.60%,3.02%,2.61%,2.87%
Avg. Down Month,-2.34%,-1.44%,-1.88%,-2.01%,-1.58%,-1.23%,-1.40%,-1.41%,-2.11%,-1.49%,-2.58%
Win Year %,40.00%,80.00%,60.00%,40.00%,80.00%,80.00%,80.00%,40.00%,60.00%,80.00%,40.00%
Win 12m %,61.82%,85.45%,72.73%,65.45%,80.00%,94.55%,89.09%,61.82%,65.45%,81.82%,56.36%
