Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),10.89%,13.84%,10.17%,-2.04%,11.60%,9.97%,13.61%,12.03%,11.33%,5.06%,-6.30%
5Y (ann.),14.92%,18.58%,15.07%,6.22%,15.94%,13.63%,17.74%,16.27%,14.04%,11.82%,3.12%
10Y (ann.),14.47%,17.63%,15.05%,3.38%,14.80%,12.82%,16.13%,14.79%,13.37%,11.27%,1.38%
Since Incep. (ann.),14.47%,17.63%,15.05%,3.38%,14.80%,12.82%,16.13%,14.79%,13.37%,11.27%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.54,3.08,2.64,0.62,2.60,2.26,2.82,2.60,2.35,2.00,0.27
Daily Mean (ann.),9.39%,11.27%,9.74%,2.36%,9.59%,8.39%,10.39%,9.59%,8.73%,7.44%,1.02%
Daily Vol (ann.),3.69%,3.66%,3.69%,3.79%,3.69%,3.71%,3.68%,3.69%,3.71%,3.73%,3.80%
Daily Skew,0.02,-0.03,0.06,-0.01,-0.06,0.02,-0.03,-0.03,-0.00,-0.06,-0.01
Daily Kurt,-0.15,-0.09,-0.19,-0.12,-0.07,-0.15,-0.10,-0.10,-0.13,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.68%,-0.68%,-0.66%,-0.74%,-0.75%,-0.70%,-0.73%,-0.75%,-0.70%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.72,2.02,1.82,0.40,1.97,1.51,1.91,1.94,1.47,1.28,0.19
Monthly Mean (ann.),14.19%,16.71%,14.43%,4.17%,14.62%,12.83%,15.46%,14.64%,13.34%,11.13%,2.21%
Monthly Vol (ann.),8.26%,8.27%,7.93%,10.55%,7.40%,8.52%,8.11%,7.54%,9.05%,8.72%,11.92%
Monthly Skew,1.17,1.06,1.31,0.82,1.27,1.18,0.83,1.20,0.97,1.37,0.45
Monthly Kurt,1.19,0.88,1.52,0.63,1.23,1.13,0.57,1.59,0.70,1.66,-0.31
Best Month,7.95%,8.63%,8.20%,8.63%,7.16%,8.46%,7.36%,7.69%,8.63%,8.63%,8.69%
Worst Month,-2.65%,-2.17%,-2.09%,-5.60%,-2.19%,-2.80%,-2.58%,-2.49%,-2.95%,-3.09%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.08,1.19,1.00,0.36,1.42,0.94,1.29,1.13,0.97,0.73,0.23
Yearly Mean,14.84%,18.05%,14.66%,7.19%,14.49%,13.64%,17.61%,15.86%,13.71%,11.71%,5.29%
Yearly Vol,13.69%,15.22%,14.60%,20.20%,10.22%,14.46%,13.71%,14.05%,14.14%,16.10%,22.70%
Yearly Skew,1.14,0.37,1.09,1.86,1.07,1.05,-0.01,1.16,1.02,1.64,1.88
Yearly Kurt,2.17,1.05,1.64,3.96,2.47,0.55,1.76,2.03,-0.36,3.24,3.81
Best Year,36.81%,40.21%,37.84%,42.16%,30.87%,36.00%,36.84%,38.41%,35.02%,38.94%,44.58%
Worst Year,-0.22%,-1.47%,-0.71%,-10.31%,2.70%,-0.53%,-1.69%,0.69%,1.66%,-3.31%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.70%,-0.70%,-0.82%,-1.85%,-0.59%,-0.72%,-0.68%,-0.65%,-0.70%,-0.85%,-1.75%
Avg. Drawdown Days,15.08,15.83,19.71,47.08,16.91,19.33,16.03,14.30,15.59,24.04,61.80
Avg. Up Month,2.31%,2.42%,2.10%,2.80%,2.02%,2.71%,2.23%,2.13%,2.49%,2.30%,2.87%
Avg. Down Month,-0.88%,-0.92%,-0.81%,-1.89%,-0.72%,-0.84%,-1.16%,-0.82%,-1.25%,-1.00%,-2.58%
Win Year %,80.00%,80.00%,80.00%,80.00%,100.00%,80.00%,80.00%,100.00%,100.00%,80.00%,40.00%
Win 12m %,98.18%,100.00%,100.00%,72.73%,98.18%,96.36%,98.18%,100.00%,98.18%,92.73%,56.36%
