Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-32.13%,-25.13%,-31.45%,-37.94%,-26.92%,-31.25%,-34.18%,-29.12%,-28.81%,-30.78%,-10.57%
3Y (ann.),-28.93%,-29.71%,-29.76%,-33.03%,-29.89%,-31.24%,-31.99%,-29.86%,-30.96%,-32.54%,-6.30%
5Y (ann.),-29.69%,-30.94%,-27.52%,-33.22%,-29.66%,-31.47%,-32.97%,-31.13%,-31.08%,-30.65%,3.12%
10Y (ann.),-29.63%,-30.85%,-28.02%,-32.33%,-30.23%,-31.46%,-32.79%,-31.31%,-31.50%,-30.14%,1.38%
Since Incep. (ann.),-29.63%,-30.85%,-28.02%,-32.33%,-30.23%,-31.46%,-32.79%,-31.31%,-31.50%,-30.14%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-5.99,-6.26,-5.46,-6.53,-5.95,-6.24,-6.70,-6.33,-6.42,-5.96,0.27
Daily Mean (ann.),-24.15%,-25.35%,-22.59%,-26.84%,-24.74%,-25.96%,-27.32%,-25.82%,-26.01%,-24.65%,1.02%
Daily Vol (ann.),4.03%,4.05%,4.14%,4.11%,4.16%,4.16%,4.08%,4.08%,4.05%,4.14%,3.80%
Daily Skew,0.01,-0.00,0.01,-0.08,-0.03,-0.04,0.04,0.01,-0.04,0.04,-0.01
Daily Kurt,-0.16,-0.05,-0.29,-0.22,-0.23,-0.02,-0.17,-0.01,-0.15,-0.09,-0.12
Best Day,0.70%,0.68%,0.72%,0.64%,0.74%,0.71%,0.72%,0.71%,0.63%,0.73%,0.75%
Worst Day,-0.94%,-0.95%,-0.91%,-0.94%,-0.88%,-0.95%,-0.94%,-0.92%,-0.92%,-0.95%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-6.24,-7.20,-5.64,-6.64,-7.43,-6.74,-8.60,-8.11,-6.51,-7.15,0.19
Monthly Mean (ann.),-34.99%,-36.35%,-31.94%,-38.78%,-35.25%,-36.96%,-38.63%,-36.89%,-36.80%,-35.37%,2.21%
Monthly Vol (ann.),5.61%,5.05%,5.66%,5.84%,4.74%,5.48%,4.49%,4.55%,5.65%,4.95%,11.92%
Monthly Skew,0.47,-0.11,-0.06,0.29,-0.08,-0.08,-0.12,-0.06,-0.16,0.25,0.45
Monthly Kurt,0.05,-0.35,-0.64,0.41,0.82,-0.24,-0.12,-0.18,0.43,-0.13,-0.31
Best Month,1.81%,-0.04%,1.10%,1.84%,0.54%,1.05%,-0.36%,-0.06%,0.79%,0.82%,8.69%
Worst Month,-6.07%,-6.81%,-6.73%,-7.15%,-7.15%,-6.73%,-6.75%,-6.60%,-7.22%,-5.85%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-3.87,-3.18,-4.73,-3.70,-3.41,-4.66,-4.53,-3.52,-3.60,-4.29,0.23
Yearly Mean,-26.36%,-28.60%,-24.90%,-29.97%,-26.59%,-28.28%,-29.45%,-28.01%,-28.45%,-28.11%,5.29%
Yearly Vol,6.81%,8.99%,5.26%,8.09%,7.79%,6.07%,6.50%,7.95%,7.91%,6.56%,22.70%
Yearly Skew,0.89,1.68,-0.12,0.70,1.85,1.78,1.97,2.21,1.80,2.20,1.88
Yearly Kurt,-1.38,2.96,0.39,-1.03,3.60,3.61,4.08,4.91,3.47,4.87,3.81
Best Year,-16.57%,-13.40%,-17.90%,-18.39%,-13.17%,-17.86%,-18.10%,-13.82%,-14.88%,-16.41%,44.58%
Worst Year,-31.84%,-36.22%,-32.10%,-37.59%,-32.27%,-33.54%,-34.24%,-32.13%,-34.49%,-31.52%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-28.80%,-43.40%,-83.54%,-22.30%,-43.50%,-87.35%,-88.67%,-43.90%,-87.45%,-85.96%,-1.75%
Avg. Drawdown Days,664.00,998.50,1997.00,497.75,998.50,1998.00,1998.00,995.50,1997.00,1998.00,61.80
Avg. Up Month,1.04%,-,1.10%,1.84%,0.54%,1.05%,-,-,0.43%,0.82%,2.87%
Avg. Down Month,-3.04%,-3.03%,-2.72%,-3.31%,-2.99%,-3.14%,-3.22%,-3.07%,-3.18%,-3.01%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
