Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,19.05%,8.96%,23.51%,-10.46%,-10.46%,6.36%,-10.46%,3.40%,-10.46%,-10.46%,-10.57%
3Y (ann.),13.18%,9.23%,14.33%,-6.40%,-6.40%,12.09%,-6.40%,11.19%,-6.40%,-6.40%,-6.30%
5Y (ann.),15.40%,15.94%,18.40%,3.09%,3.09%,12.21%,3.09%,14.34%,3.09%,3.09%,3.12%
10Y (ann.),15.19%,15.68%,17.15%,1.38%,1.38%,11.34%,1.38%,13.61%,1.38%,1.38%,1.38%
Since Incep. (ann.),15.19%,15.68%,17.15%,1.38%,1.38%,11.34%,1.38%,13.61%,1.38%,1.38%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.57,2.65,2.92,0.27,0.27,1.98,0.27,2.28,0.27,0.27,0.27
Daily Mean (ann.),9.83%,10.12%,10.99%,1.01%,1.01%,7.49%,1.01%,8.88%,1.01%,1.01%,1.02%
Daily Vol (ann.),3.83%,3.81%,3.77%,3.80%,3.80%,3.78%,3.80%,3.90%,3.80%,3.80%,3.80%
Daily Skew,-0.08,-0.08,-0.07,-0.01,-0.01,0.02,-0.01,-0.11,-0.01,-0.01,-0.01
Daily Kurt,-0.05,-0.08,-0.06,-0.12,-0.12,-0.17,-0.12,-0.01,-0.12,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.80%,-0.73%,-0.85%,-0.74%,-0.74%,-0.71%,-0.74%,-0.77%,-0.74%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.42,1.57,1.81,0.18,0.18,1.20,0.18,1.42,0.18,0.18,0.19
Monthly Mean (ann.),14.41%,15.31%,16.45%,2.16%,2.16%,11.27%,2.16%,13.81%,2.16%,2.16%,2.21%
Monthly Vol (ann.),10.13%,9.77%,9.08%,12.10%,12.10%,9.38%,12.10%,9.76%,12.10%,12.10%,11.92%
Monthly Skew,0.61,0.61,0.63,0.47,0.47,0.34,0.47,0.77,0.47,0.47,0.45
Monthly Kurt,0.20,0.03,0.03,-0.22,-0.22,-0.14,-0.22,0.18,-0.22,-0.22,-0.31
Best Month,8.63%,8.63%,7.86%,8.63%,8.63%,7.61%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-5.36%,-3.77%,-3.28%,-6.03%,-6.03%,-4.31%,-6.03%,-3.28%,-6.03%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.31,0.81,1.44,0.23,0.23,1.14,0.23,0.91,0.23,0.23,0.23
Yearly Mean,15.66%,16.81%,16.66%,5.33%,5.33%,11.50%,5.33%,13.54%,5.33%,5.33%,5.29%
Yearly Vol,11.95%,20.80%,11.53%,22.94%,22.94%,10.10%,22.94%,14.93%,22.94%,22.94%,22.70%
Yearly Skew,2.16,2.03,1.92,1.85,1.85,-0.80,1.85,0.68,1.85,1.85,1.88
Yearly Kurt,4.73,4.28,3.93,3.71,3.71,-0.73,3.71,-1.20,3.71,3.71,3.81
Best Year,36.90%,53.33%,36.70%,44.91%,44.91%,21.73%,44.91%,34.71%,44.91%,44.91%,44.58%
Worst Year,8.85%,2.60%,7.86%,-13.05%,-13.05%,-3.19%,-13.05%,-0.63%,-13.05%,-13.05%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.83%,-0.91%,-0.73%,-1.75%,-1.75%,-0.95%,-1.75%,-0.92%,-1.75%,-1.75%,-1.75%
Avg. Drawdown Days,17.80,19.85,14.80,61.77,61.77,18.18,61.77,20.98,61.77,61.77,61.80
Avg. Up Month,2.87%,2.80%,2.64%,3.09%,3.09%,2.41%,3.09%,2.71%,3.09%,3.09%,2.87%
Avg. Down Month,-1.48%,-1.51%,-1.28%,-2.47%,-2.47%,-1.93%,-2.47%,-1.52%,-2.47%,-2.47%,-2.58%
Win Year %,100.00%,100.00%,100.00%,60.00%,60.00%,80.00%,60.00%,80.00%,60.00%,60.00%,40.00%
Win 12m %,100.00%,96.36%,100.00%,56.36%,56.36%,98.18%,56.36%,96.36%,56.36%,56.36%,56.36%
