Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),14.02%,13.01%,9.66%,10.00%,7.90%,7.30%,11.17%,5.95%,6.73%,4.28%,-6.30%
5Y (ann.),17.70%,18.92%,15.17%,14.87%,11.83%,13.91%,14.06%,14.53%,13.16%,9.51%,3.12%
10Y (ann.),16.97%,18.15%,13.99%,14.24%,10.88%,12.45%,12.72%,13.35%,11.76%,8.83%,1.38%
Since Incep. (ann.),16.97%,18.15%,13.99%,14.24%,10.88%,12.45%,12.72%,13.35%,11.76%,8.83%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.81,3.06,2.37,2.41,1.84,2.11,2.14,2.26,2.00,1.51,0.27
Daily Mean (ann.),10.89%,11.58%,9.11%,9.26%,7.20%,8.17%,8.34%,8.72%,7.75%,5.91%,1.02%
Daily Vol (ann.),3.87%,3.78%,3.85%,3.84%,3.90%,3.88%,3.89%,3.86%,3.88%,3.91%,3.80%
Daily Skew,-0.10,-0.03,-0.08,-0.14,-0.11,-0.08,-0.10,-0.03,-0.04,-0.04,-0.01
Daily Kurt,-0.05,-0.19,-0.11,0.01,-0.02,-0.11,-0.03,-0.01,-0.09,-0.13,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.78%,-0.85%,-0.68%,-0.85%,-0.85%,-0.76%,-0.92%,-0.92%,-0.85%,-0.78%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.79,1.77,1.54,1.59,1.28,1.42,1.45,1.41,1.43,0.98,0.19
Monthly Mean (ann.),15.83%,17.55%,13.88%,13.77%,11.74%,12.83%,12.73%,13.48%,12.41%,9.19%,2.21%
Monthly Vol (ann.),8.85%,9.94%,9.02%,8.67%,9.20%,9.06%,8.81%,9.57%,8.68%,9.40%,11.92%
Monthly Skew,0.78,0.53,0.91,0.67,0.95,0.85,1.00,1.08,1.17,0.64,0.45
Monthly Kurt,1.03,0.06,0.73,0.66,1.10,0.59,1.20,0.58,1.45,0.94,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-4.81%,-5.09%,-3.50%,-3.93%,-4.37%,-3.02%,-3.41%,-3.33%,-2.70%,-6.05%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.61,0.97,1.07,1.02,0.82,0.94,1.14,0.73,0.91,0.72,0.23
Yearly Mean,16.67%,17.29%,14.71%,14.16%,12.67%,12.79%,14.35%,13.31%,12.38%,11.01%,5.29%
Yearly Vol,10.33%,17.83%,13.81%,13.90%,15.54%,13.61%,12.56%,18.17%,13.64%,15.25%,22.70%
Yearly Skew,1.01,1.73,0.97,1.13,1.78,1.25,1.32,1.18,0.05,1.72,1.88
Yearly Kurt,2.19,3.25,0.68,1.63,3.62,2.19,1.62,2.25,0.38,2.96,3.81
Best Year,33.07%,47.65%,35.95%,36.25%,39.33%,34.85%,34.62%,42.61%,31.00%,36.85%,44.58%
Worst Year,4.75%,3.13%,0.24%,-0.64%,-0.89%,-1.51%,2.56%,-6.46%,-5.82%,-0.79%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.76%,-0.74%,-0.87%,-0.73%,-0.99%,-0.94%,-1.03%,-0.94%,-0.95%,-1.28%,-1.75%
Avg. Drawdown Days,14.45,14.37,18.55,17.83,25.37,22.03,24.18,19.48,22.08,33.98,61.80
Avg. Up Month,2.50%,2.89%,2.57%,2.29%,2.33%,2.28%,2.45%,2.88%,2.29%,2.64%,2.87%
Avg. Down Month,-1.15%,-1.32%,-1.25%,-1.44%,-1.34%,-1.47%,-1.17%,-1.05%,-1.27%,-1.43%,-2.58%
Win Year %,100.00%,100.00%,100.00%,80.00%,80.00%,80.00%,100.00%,80.00%,80.00%,80.00%,40.00%
Win 12m %,98.18%,96.36%,100.00%,98.18%,96.36%,98.18%,98.18%,96.36%,96.36%,80.00%,56.36%
