Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-6.93%,1.39%,-1.49%,-12.39%,1.67%,-4.18%,-7.25%,-1.38%,-3.77%,-4.04%,-10.57%
3Y (ann.),-1.43%,-3.60%,-1.15%,-6.43%,-2.17%,-5.08%,-3.43%,-1.82%,-4.63%,-7.26%,-6.30%
5Y (ann.),-2.62%,-4.45%,0.64%,-7.13%,-2.11%,-4.88%,-4.82%,-3.75%,-4.51%,-4.91%,3.12%
10Y (ann.),-2.46%,-4.55%,0.10%,-6.00%,-2.64%,-4.73%,-4.69%,-3.84%,-4.92%,-4.33%,1.38%
Since Incep. (ann.),-2.46%,-4.55%,0.10%,-6.00%,-2.64%,-4.73%,-4.69%,-3.84%,-4.92%,-4.33%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.43,-0.83,0.04,-1.11,-0.47,-0.86,-0.85,-0.69,-0.90,-0.78,0.27
Daily Mean (ann.),-1.65%,-3.14%,0.14%,-4.20%,-1.78%,-3.27%,-3.24%,-2.63%,-3.41%,-2.98%,1.02%
Daily Vol (ann.),3.79%,3.79%,3.80%,3.80%,3.80%,3.81%,3.80%,3.80%,3.79%,3.80%,3.80%
Daily Skew,0.01,-0.02,0.01,-0.07,0.00,-0.06,0.01,0.02,-0.05,0.04,-0.01
Daily Kurt,-0.13,-0.11,-0.14,-0.14,-0.13,-0.10,-0.13,-0.11,-0.13,-0.11,-0.12
Best Day,0.73%,0.70%,0.73%,0.65%,0.74%,0.71%,0.72%,0.71%,0.73%,0.73%,0.75%
Worst Day,-0.76%,-0.77%,-0.74%,-0.76%,-0.75%,-0.77%,-0.76%,-0.75%,-0.74%,-0.77%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.56,-1.02,0.05,-1.26,-0.61,-0.93,-1.05,-0.93,-0.88,-0.97,0.19
Monthly Mean (ann.),-2.89%,-4.83%,0.28%,-6.61%,-2.76%,-4.76%,-4.61%,-4.02%,-4.80%,-4.55%,2.21%
Monthly Vol (ann.),5.12%,4.75%,5.21%,5.26%,4.53%,5.13%,4.37%,4.33%,5.45%,4.67%,11.92%
Monthly Skew,0.38,-0.55,-0.23,0.37,0.14,-0.26,-0.16,-0.73,-0.09,0.28,0.45
Monthly Kurt,0.16,0.21,-0.13,0.53,0.40,0.19,-0.75,1.81,0.69,0.08,-0.31
Best Month,4.23%,1.62%,3.32%,4.07%,3.29%,3.08%,1.91%,2.47%,3.37%,3.40%,8.69%
Worst Month,-3.08%,-4.76%,-4.17%,-4.43%,-3.90%,-4.52%,-3.15%,-4.89%,-4.50%,-3.09%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-0.55,-1.06,0.20,-0.98,-0.49,-1.80,-3.63,-1.07,-1.63,-2.41,0.23
Yearly Mean,-1.74%,-5.01%,0.72%,-5.97%,-1.83%,-4.04%,-3.61%,-3.22%,-4.57%,-4.62%,5.29%
Yearly Vol,3.15%,4.74%,3.59%,6.06%,3.74%,2.25%,0.99%,2.99%,2.80%,1.91%,22.70%
Yearly Skew,1.58,0.01,0.00,0.45,-0.63,-0.31,-1.81,0.50,-0.34,0.08,1.88
Yearly Kurt,2.16,-2.06,-2.39,-1.04,-2.36,-1.82,3.29,-3.08,-1.59,-2.40,3.81
Best Year,3.49%,0.59%,4.39%,2.51%,1.59%,-1.84%,-2.92%,0.28%,-1.71%,-2.39%,44.58%
Worst Year,-4.13%,-10.75%,-3.63%,-12.18%,-6.75%,-7.02%,-5.31%,-5.87%,-8.34%,-6.84%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-2.33%,-4.90%,-1.38%,-2.94%,-2.66%,-6.31%,-8.41%,-8.24%,-8.58%,-3.20%,-1.75%
Avg. Drawdown Days,283.00,330.83,57.06,151.62,248.38,498.50,665.33,663.00,664.67,220.67,61.80
Avg. Up Month,1.20%,0.98%,1.16%,1.24%,1.05%,0.93%,0.78%,0.78%,1.29%,1.01%,2.87%
Avg. Down Month,-1.20%,-1.27%,-1.30%,-1.34%,-1.03%,-1.40%,-1.27%,-1.13%,-1.26%,-1.19%,-2.58%
Win Year %,20.00%,20.00%,60.00%,20.00%,40.00%,0.00%,0.00%,20.00%,0.00%,0.00%,40.00%
Win 12m %,30.91%,14.55%,56.36%,16.36%,32.73%,14.55%,3.64%,7.27%,7.27%,5.45%,56.36%
