Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),21.78%,14.58%,15.30%,29.88%,28.10%,21.03%,28.93%,23.65%,28.06%,26.98%,-6.30%
5Y (ann.),28.02%,19.89%,23.43%,31.42%,31.73%,24.64%,31.61%,27.98%,30.63%,26.38%,3.12%
10Y (ann.),27.44%,17.83%,24.22%,30.20%,30.53%,24.09%,30.15%,26.81%,30.78%,26.73%,1.38%
Since Incep. (ann.),27.44%,17.83%,24.22%,30.20%,30.53%,24.09%,30.15%,26.81%,30.78%,26.73%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,4.61,3.06,4.09,5.06,5.11,4.07,5.05,4.51,5.15,4.50,0.27
Daily Mean (ann.),16.80%,11.39%,15.03%,18.28%,18.46%,14.96%,18.25%,16.46%,18.59%,16.41%,1.02%
Daily Vol (ann.),3.65%,3.73%,3.67%,3.62%,3.61%,3.68%,3.61%,3.65%,3.61%,3.65%,3.80%
Daily Skew,-0.02,-0.03,-0.02,-0.05,-0.04,-0.02,-0.10,-0.02,-0.07,-0.07,-0.01
Daily Kurt,-0.10,-0.10,-0.10,-0.06,-0.07,-0.11,0.01,-0.10,-0.03,-0.05,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.65%,-0.65%,-0.66%,-0.65%,-0.67%,-0.67%,-0.67%,-0.65%,-0.67%,-0.70%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.88,1.93,2.34,3.44,3.64,2.53,3.54,2.79,3.25,2.84,0.19
Monthly Mean (ann.),24.82%,17.29%,22.43%,27.56%,27.58%,22.73%,27.59%,24.49%,27.40%,24.36%,2.21%
Monthly Vol (ann.),8.62%,8.95%,9.58%,8.01%,7.57%,8.98%,7.79%,8.79%,8.43%,8.59%,11.92%
Monthly Skew,0.74,1.08,0.07,0.96,0.97,0.67,0.94,0.62,0.66,0.63,0.45
Monthly Kurt,0.22,0.63,0.55,0.37,0.91,-0.05,0.81,0.11,-0.03,0.18,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.46%,-2.15%,-6.14%,-1.42%,-1.60%,-2.51%,-2.63%,-2.53%,-2.05%,-2.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.35,1.04,1.33,2.19,1.78,1.43,2.10,1.64,2.13,2.53,0.23
Yearly Mean,25.22%,19.31%,21.84%,28.12%,30.43%,23.74%,28.89%,26.33%,28.87%,26.11%,5.29%
Yearly Vol,18.65%,18.49%,16.48%,12.87%,17.05%,16.58%,13.76%,16.02%,13.56%,10.33%,22.70%
Yearly Skew,-0.33,1.74,0.89,-0.05,1.26,0.64,0.60,1.08,-0.01,-0.33,1.88
Yearly Kurt,0.97,3.35,0.71,-1.56,2.57,0.78,1.45,2.55,0.09,1.19,3.81
Best Year,49.26%,50.86%,47.00%,43.99%,58.23%,48.40%,49.60%,52.06%,46.80%,39.57%,44.58%
Worst Year,-1.75%,3.47%,3.78%,12.09%,11.97%,3.81%,11.71%,7.82%,10.56%,11.11%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.48%,-0.75%,-0.55%,-0.46%,-0.41%,-0.51%,-0.44%,-0.49%,-0.46%,-0.47%,-1.75%
Avg. Drawdown Days,8.56,17.41,10.04,7.53,7.13,9.44,7.13,9.29,7.56,8.22,61.80
Avg. Up Month,2.70%,2.63%,2.91%,2.64%,2.75%,2.92%,2.61%,2.83%,2.85%,2.77%,2.87%
Avg. Down Month,-1.05%,-0.89%,-1.60%,-0.56%,-0.50%,-1.01%,-0.80%,-1.12%,-0.84%,-1.23%,-2.58%
Win Year %,80.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,98.18%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
