Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),21.02%,18.27%,20.20%,20.42%,17.67%,16.56%,21.78%,19.36%,20.40%,13.80%,-6.30%
5Y (ann.),25.15%,23.94%,22.57%,24.72%,23.24%,22.13%,24.36%,25.48%,25.20%,19.44%,3.12%
10Y (ann.),23.57%,23.21%,21.52%,23.51%,22.56%,21.62%,22.45%,24.90%,24.45%,19.68%,1.38%
Since Incep. (ann.),23.57%,23.21%,21.52%,23.51%,22.56%,21.62%,22.45%,24.90%,24.45%,19.68%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.98,3.93,3.65,3.98,3.83,3.67,3.80,4.20,4.13,3.36,0.27
Daily Mean (ann.),14.68%,14.47%,13.52%,14.64%,14.11%,13.58%,14.05%,15.41%,15.16%,12.47%,1.02%
Daily Vol (ann.),3.68%,3.68%,3.70%,3.68%,3.69%,3.70%,3.69%,3.67%,3.67%,3.71%,3.80%
Daily Skew,-0.01,-0.02,-0.03,-0.08,0.00,-0.07,-0.00,-0.05,0.03,-0.06,-0.01
Daily Kurt,-0.14,-0.11,-0.10,-0.04,-0.12,-0.06,-0.13,-0.07,-0.17,-0.07,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.63%,-0.65%,-0.68%,-0.76%,-0.73%,-0.76%,-0.75%,-0.74%,-0.65%,-0.68%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.86,2.67,2.46,2.85,2.69,2.55,2.71,2.80,3.01,2.37,0.19
Monthly Mean (ann.),22.17%,21.62%,20.16%,21.62%,20.97%,20.30%,20.97%,22.57%,22.65%,18.38%,2.21%
Monthly Vol (ann.),7.75%,8.11%,8.19%,7.60%,7.80%,7.96%,7.73%,8.05%,7.52%,7.76%,11.92%
Monthly Skew,0.99,1.09,1.16,0.90,1.16,1.09,1.23,1.03,1.16,0.99,0.45
Monthly Kurt,1.09,0.92,1.02,1.16,1.47,1.13,1.44,1.04,1.45,1.68,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.54%,-1.77%,-2.21%,-2.27%,-2.09%,-2.24%,-1.86%,-1.92%,-1.34%,-3.12%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.57,1.33,1.74,1.53,1.46,1.40,1.69,1.32,1.66,1.12,0.23
Yearly Mean,22.95%,22.44%,21.10%,23.51%,22.43%,20.66%,22.57%,24.42%,23.73%,19.19%,5.29%
Yearly Vol,14.58%,16.92%,12.10%,15.32%,15.39%,14.76%,13.33%,18.54%,14.34%,17.18%,22.70%
Yearly Skew,-0.47,0.52,-1.03,0.37,0.60,0.39,0.12,-0.10,-0.50,1.36,1.88
Yearly Kurt,-0.33,1.24,0.79,1.53,2.14,0.69,1.43,1.98,0.96,2.16,3.81
Best Year,40.19%,47.56%,33.41%,46.02%,45.90%,42.05%,41.47%,50.25%,41.70%,47.28%,44.58%
Worst Year,2.30%,1.13%,2.31%,3.41%,2.71%,2.16%,4.32%,-2.15%,2.64%,2.70%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.57%,-0.50%,-0.56%,-0.50%,-0.49%,-0.54%,-0.52%,-0.48%,-0.52%,-0.62%,-1.75%
Avg. Drawdown Days,10.76,8.90,10.61,8.36,10.88,9.77,10.27,8.48,9.70,12.52,61.80
Avg. Up Month,2.38%,2.60%,2.40%,2.43%,2.39%,2.38%,2.23%,2.46%,2.41%,2.31%,2.87%
Avg. Down Month,-0.77%,-0.63%,-0.70%,-0.96%,-0.81%,-0.80%,-0.64%,-0.97%,-0.68%,-0.86%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,80.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
