Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),22.68%,26.37%,16.51%,18.68%,20.95%,17.62%,18.03%,17.79%,20.31%,16.12%,-6.30%
5Y (ann.),22.77%,28.60%,19.33%,21.86%,24.46%,19.13%,21.10%,21.51%,21.89%,16.91%,3.12%
10Y (ann.),22.13%,27.58%,18.98%,21.05%,24.71%,18.15%,21.15%,20.50%,20.93%,15.96%,1.38%
Since Incep. (ann.),22.13%,27.58%,18.98%,21.05%,24.71%,18.15%,21.15%,20.50%,20.93%,15.96%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.75,4.63,3.24,3.58,4.17,3.11,3.59,3.49,3.56,2.75,0.27
Daily Mean (ann.),13.87%,16.88%,12.06%,13.25%,15.31%,11.58%,13.31%,12.94%,13.18%,10.29%,1.02%
Daily Vol (ann.),3.70%,3.65%,3.72%,3.70%,3.67%,3.73%,3.70%,3.71%,3.71%,3.74%,3.80%
Daily Skew,-0.09,-0.07,0.02,-0.01,0.03,-0.04,0.00,-0.00,-0.01,-0.07,-0.01
Daily Kurt,-0.04,-0.04,-0.14,-0.12,-0.16,-0.09,-0.13,-0.12,-0.12,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.70%,-0.63%,-0.65%,-0.65%,-0.59%,-0.73%,-0.66%,-0.65%,-0.65%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.73,3.31,2.19,2.48,2.88,2.30,2.47,2.48,2.48,2.02,0.19
Monthly Mean (ann.),20.84%,25.19%,18.06%,20.08%,22.87%,17.81%,19.75%,19.62%,20.08%,15.54%,2.21%
Monthly Vol (ann.),7.64%,7.62%,8.24%,8.11%,7.94%,7.73%,8.00%,7.90%,8.11%,7.69%,11.92%
Monthly Skew,0.92,0.91,1.19,0.96,0.81,0.95,0.81,1.01,1.03,1.11,0.45
Monthly Kurt,0.35,0.35,1.11,1.26,0.19,0.95,0.51,0.94,1.27,1.15,-0.31
Best Month,7.36%,8.35%,8.52%,8.63%,8.23%,8.51%,8.45%,8.52%,8.69%,8.23%,8.69%
Worst Month,-1.62%,-1.32%,-2.19%,-3.21%,-1.89%,-2.97%,-2.87%,-2.18%,-2.53%,-1.87%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,2.07,1.88,1.32,1.44,1.80,1.57,1.72,1.33,1.55,1.41,0.23
Yearly Mean,21.78%,26.27%,19.10%,20.15%,22.63%,17.61%,19.96%,20.01%,19.96%,17.34%,5.29%
Yearly Vol,10.51%,14.01%,14.49%,13.96%,12.59%,11.22%,11.60%,15.00%,12.92%,12.33%,22.70%
Yearly Skew,-0.74,-0.22,1.10,0.74,0.95,0.90,0.61,1.09,0.05,0.75,1.88
Yearly Kurt,0.66,-1.15,1.73,1.37,0.57,-0.79,-1.00,0.48,-0.67,1.15,3.81
Best Year,33.94%,43.05%,42.15%,41.46%,41.88%,34.12%,36.26%,43.25%,37.12%,36.12%,44.58%
Worst Year,6.01%,7.70%,3.76%,3.50%,9.25%,7.83%,7.20%,5.68%,3.69%,2.91%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.48%,-0.40%,-0.51%,-0.52%,-0.44%,-0.48%,-0.47%,-0.49%,-0.46%,-0.53%,-1.75%
Avg. Drawdown Days,9.05,6.56,11.80,10.16,8.44,9.79,9.53,9.82,8.90,12.12,61.80
Avg. Up Month,2.40%,2.55%,2.48%,2.37%,2.67%,2.41%,2.46%,2.33%,2.45%,2.21%,2.87%
Avg. Down Month,-0.66%,-0.70%,-0.69%,-0.87%,-0.64%,-0.76%,-0.84%,-0.88%,-0.91%,-0.91%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
