Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-10.83%,4.66%,-3.34%,-0.22%,-0.76%,15.54%,9.46%,11.01%,-4.79%,5.05%,-10.57%
3Y (ann.),-3.97%,4.41%,0.30%,2.68%,6.93%,16.92%,7.00%,3.56%,-1.37%,7.77%,-6.30%
5Y (ann.),5.11%,12.62%,6.45%,6.73%,15.64%,18.05%,14.02%,12.40%,6.45%,12.99%,3.12%
10Y (ann.),3.84%,12.11%,5.09%,5.62%,14.89%,18.99%,12.61%,11.75%,4.99%,11.61%,1.38%
Since Incep. (ann.),3.84%,12.11%,5.09%,5.62%,14.89%,18.99%,12.61%,11.75%,4.99%,11.61%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.71,2.12,0.92,1.01,2.57,3.24,2.20,2.05,0.91,2.03,0.27
Daily Mean (ann.),2.67%,7.96%,3.50%,3.84%,9.65%,12.07%,8.26%,7.73%,3.43%,7.65%,1.02%
Daily Vol (ann.),3.79%,3.76%,3.79%,3.79%,3.75%,3.72%,3.76%,3.77%,3.79%,3.77%,3.80%
Daily Skew,-0.02,0.02,-0.03,0.02,-0.08,0.03,-0.12,-0.04,-0.07,-0.02,-0.01
Daily Kurt,-0.12,-0.13,-0.11,-0.13,-0.07,-0.15,-0.06,-0.10,-0.11,-0.11,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.74%,-0.72%,-0.74%,-0.62%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.43,1.31,0.55,0.59,1.57,2.09,1.35,1.20,0.55,1.23,0.19
Monthly Mean (ann.),4.95%,12.04%,5.71%,6.20%,14.25%,18.27%,12.42%,11.33%,6.14%,11.63%,2.21%
Monthly Vol (ann.),11.39%,9.21%,10.46%,10.56%,9.05%,8.75%,9.23%,9.45%,11.15%,9.48%,11.92%
Monthly Skew,0.57,1.06,0.74,0.76,0.99,0.74,1.04,0.94,0.48,0.96,0.45
Monthly Kurt,-0.06,0.96,0.53,0.40,1.04,0.28,0.87,1.18,0.21,0.83,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.12%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-5.76%,-2.90%,-5.51%,-4.84%,-4.49%,-3.72%,-3.48%,-4.96%,-5.69%,-4.12%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.34,0.65,0.48,0.44,0.82,1.34,0.79,0.57,0.37,0.83,0.23
Yearly Mean,6.90%,13.27%,8.66%,8.20%,15.15%,18.89%,14.01%,13.20%,7.77%,13.38%,5.29%
Yearly Vol,20.05%,20.56%,18.17%,18.56%,18.47%,14.08%,17.77%,23.34%,20.97%,16.16%,22.70%
Yearly Skew,1.56,1.80,1.36,1.76,0.85,0.41,1.94,1.48,1.78,1.31,1.88
Yearly Kurt,2.82,3.78,2.45,3.39,0.81,-0.48,4.14,1.70,3.36,2.50,3.81
Best Year,40.45%,48.67%,38.51%,39.92%,43.27%,38.43%,44.99%,51.40%,43.65%,39.83%,44.58%
Worst Year,-11.86%,-4.92%,-9.46%,-7.01%,-5.65%,1.81%,-0.42%,-3.70%,-8.51%,-3.53%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.50%,-0.81%,-1.62%,-1.51%,-0.76%,-0.63%,-0.85%,-0.77%,-1.32%,-0.97%,-1.75%
Avg. Drawdown Days,33.91,19.86,38.36,50.25,15.71,13.82,21.99,28.66,42.98,28.37,61.80
Avg. Up Month,3.06%,2.45%,2.98%,2.70%,2.65%,2.49%,2.61%,2.48%,2.91%,2.31%,2.87%
Avg. Down Month,-2.15%,-1.31%,-1.67%,-1.88%,-1.00%,-1.01%,-1.19%,-1.22%,-1.96%,-1.49%,-2.58%
Win Year %,40.00%,80.00%,60.00%,60.00%,80.00%,100.00%,80.00%,60.00%,60.00%,80.00%,40.00%
Win 12m %,67.27%,94.55%,78.18%,78.18%,96.36%,100.00%,94.55%,85.45%,76.36%,96.36%,56.36%
