Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,6.67%,2.22%,5.16%,-1.78%,8.11%,-10.46%,8.05%,-0.84%,26.33%,-10.46%,-10.57%
3Y (ann.),4.32%,-2.55%,4.48%,7.19%,5.25%,-6.40%,5.33%,5.79%,12.40%,-6.40%,-6.30%
5Y (ann.),7.25%,3.90%,9.79%,4.38%,9.56%,3.09%,6.39%,9.29%,12.29%,3.09%,3.12%
10Y (ann.),6.92%,3.09%,8.99%,3.75%,6.61%,1.38%,5.56%,9.28%,9.05%,1.38%,1.38%
Since Incep. (ann.),6.92%,3.09%,8.99%,3.75%,6.61%,1.38%,5.56%,9.28%,9.05%,1.38%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,1.13,0.51,1.50,0.63,1.08,0.27,0.94,1.49,1.50,0.27,0.27
Daily Mean (ann.),4.70%,2.19%,6.02%,2.62%,4.51%,1.01%,3.82%,6.21%,6.06%,1.01%,1.02%
Daily Vol (ann.),4.17%,4.29%,4.03%,4.15%,4.16%,3.80%,4.09%,4.16%,4.04%,3.80%,3.80%
Daily Skew,-0.28,-0.33,-0.22,-0.34,-0.20,-0.01,-0.28,-0.35,-0.27,-0.01,-0.01
Daily Kurt,0.30,0.23,0.14,0.42,0.00,-0.12,0.16,0.42,0.47,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-1.03%,-1.03%,-1.05%,-1.08%,-0.86%,-0.74%,-0.93%,-1.05%,-0.99%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.73,0.34,0.97,0.44,0.69,0.18,0.65,1.00,0.94,0.18,0.19
Monthly Mean (ann.),7.72%,3.80%,9.21%,4.55%,7.31%,2.16%,6.63%,9.80%,9.52%,2.16%,2.21%
Monthly Vol (ann.),10.59%,11.10%,9.54%,10.33%,10.65%,12.10%,10.20%,9.81%,10.09%,12.10%,11.92%
Monthly Skew,0.67,0.68,0.62,0.62,0.68,0.47,0.70,0.99,0.81,0.47,0.45
Monthly Kurt,0.50,-0.05,0.28,-0.15,-0.14,-0.22,0.48,0.64,0.33,-0.22,-0.31
Best Month,8.63%,8.63%,7.46%,7.86%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-5.93%,-4.98%,-4.61%,-5.01%,-4.58%,-6.03%,-4.77%,-3.51%,-4.12%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.59,0.29,0.74,0.78,0.58,0.23,0.73,0.63,3.26,0.23,0.23
Yearly Mean,7.88%,6.12%,8.56%,5.64%,9.34%,5.33%,7.48%,8.41%,11.74%,5.33%,5.29%
Yearly Vol,13.30%,21.28%,11.57%,7.27%,16.23%,22.94%,10.22%,13.25%,3.60%,22.94%,22.70%
Yearly Skew,1.88,1.68,1.80,0.19,1.45,1.85,1.75,1.15,0.39,1.85,1.88
Yearly Kurt,3.78,3.37,3.57,-0.95,1.94,3.71,3.33,1.00,0.50,3.71,3.81
Best Year,30.90%,42.28%,28.42%,15.23%,35.95%,44.91%,24.91%,29.31%,16.90%,44.91%,44.58%
Worst Year,-2.40%,-13.45%,-1.16%,-3.36%,-4.57%,-13.05%,-1.21%,-2.89%,7.21%,-13.05%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.54%,-1.62%,-1.18%,-1.94%,-1.99%,-1.75%,-1.93%,-1.35%,-1.09%,-1.75%,-1.75%
Avg. Drawdown Days,35.78,61.80,26.89,50.86,52.40,61.77,51.47,29.61,27.17,61.77,61.80
Avg. Up Month,2.74%,3.17%,2.41%,2.89%,3.02%,3.09%,2.70%,2.71%,2.66%,3.09%,2.87%
Avg. Down Month,-1.81%,-1.98%,-1.70%,-1.77%,-1.87%,-2.47%,-1.96%,-1.39%,-1.67%,-2.47%,-2.58%
Win Year %,80.00%,60.00%,80.00%,80.00%,60.00%,60.00%,80.00%,60.00%,100.00%,60.00%,40.00%
Win 12m %,85.45%,60.00%,92.73%,81.82%,76.36%,56.36%,80.00%,90.91%,87.27%,56.36%,56.36%
