Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-52.28%,-46.60%,-54.26%,-57.75%,-49.43%,-52.53%,-55.10%,-50.95%,-49.14%,-51.91%,-10.57%
3Y (ann.),-50.66%,-50.57%,-52.01%,-53.88%,-51.65%,-52.00%,-54.00%,-51.78%,-51.84%,-52.69%,-6.30%
5Y (ann.),-51.10%,-51.92%,-49.73%,-53.76%,-51.34%,-52.46%,-54.66%,-52.58%,-52.09%,-51.23%,3.12%
10Y (ann.),-51.10%,-51.72%,-50.17%,-53.09%,-51.88%,-52.52%,-54.47%,-52.80%,-52.48%,-50.80%,1.38%
Since Incep. (ann.),-51.10%,-51.72%,-50.17%,-53.09%,-51.88%,-52.52%,-54.47%,-52.80%,-52.48%,-50.80%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-10.24,-10.35,-9.61,-10.54,-10.01,-10.19,-11.08,-10.56,-10.55,-9.78,0.27
Daily Mean (ann.),-49.20%,-50.07%,-47.89%,-52.04%,-50.29%,-51.21%,-54.11%,-51.62%,-51.16%,-48.76%,1.02%
Daily Vol (ann.),4.81%,4.84%,4.99%,4.94%,5.02%,5.02%,4.88%,4.89%,4.85%,4.98%,3.80%
Daily Skew,-0.00,-0.00,0.02,-0.06,-0.03,-0.02,0.07,0.01,-0.02,0.01,-0.01
Daily Kurt,-0.37,-0.27,-0.54,-0.46,-0.49,-0.29,-0.39,-0.25,-0.37,-0.35,-0.12
Best Day,0.70%,0.68%,0.72%,0.64%,0.74%,0.71%,0.72%,0.71%,0.63%,0.72%,0.75%
Worst Day,-1.14%,-1.15%,-1.11%,-1.14%,-1.08%,-1.15%,-1.14%,-1.12%,-1.12%,-1.15%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-10.65,-11.88,-10.07,-10.85,-12.93,-11.49,-14.85,-13.05,-11.09,-11.89,0.19
Monthly Mean (ann.),-69.75%,-70.49%,-66.82%,-73.59%,-70.41%,-71.82%,-75.40%,-72.44%,-71.45%,-68.77%,2.21%
Monthly Vol (ann.),6.55%,5.94%,6.63%,6.78%,5.44%,6.25%,5.08%,5.55%,6.44%,5.78%,11.92%
Monthly Skew,0.55,0.29,-0.07,0.16,-0.20,-0.04,-0.02,0.22,-0.09,0.08,0.45
Monthly Kurt,0.00,-0.45,-0.77,0.45,0.59,-0.35,0.79,-0.62,-0.00,-0.54,-0.31
Best Month,-0.82%,-1.64%,-1.31%,-0.58%,-2.44%,-1.16%,-2.15%,-2.24%,-1.92%,-1.98%,8.69%
Worst Month,-9.41%,-9.04%,-9.51%,-10.68%,-10.64%,-9.82%,-10.62%,-9.12%,-10.48%,-9.04%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-4.43,-3.98,-5.80,-4.87,-4.25,-4.68,-4.99,-4.14,-4.11,-4.81,0.23
Yearly Mean,-46.22%,-47.71%,-45.62%,-49.31%,-46.58%,-47.75%,-49.82%,-47.85%,-47.69%,-47.25%,5.29%
Yearly Vol,10.44%,11.98%,7.87%,10.12%,10.97%,10.21%,9.99%,11.55%,11.61%,9.82%,22.70%
Yearly Skew,1.46,2.02,1.22,1.51,2.15,2.06,2.08,2.22,2.06,2.23,1.88
Yearly Kurt,1.41,4.20,2.35,2.18,4.69,4.35,4.41,4.94,4.38,4.98,3.81
Best Year,-29.26%,-26.72%,-32.86%,-32.58%,-27.11%,-29.79%,-32.22%,-27.21%,-27.24%,-29.69%,44.58%
Worst Year,-53.40%,-56.15%,-54.05%,-57.36%,-52.69%,-54.30%,-56.20%,-54.05%,-54.95%,-51.94%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-49.80%,-49.19%,-97.80%,-33.19%,-98.17%,-98.30%,-98.66%,-33.09%,-98.30%,-97.94%,-1.75%
Avg. Drawdown Days,998.50,998.50,1997.00,664.00,1998.00,1998.00,1998.00,664.67,1997.00,1998.00,61.80
Avg. Up Month,-,-,-,-,-,-,-,-,-,-,2.87%
Avg. Down Month,-5.81%,-5.87%,-5.57%,-6.13%,-5.87%,-5.98%,-6.28%,-6.04%,-5.95%,-5.73%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
