Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-13.11%,-13.78%,-10.70%,-9.92%,-12.28%,-10.36%,-10.16%,-13.38%,-11.13%,-11.48%,-10.57%
3Y (ann.),-8.83%,-6.79%,-9.07%,-7.08%,-7.78%,-6.75%,-7.05%,-7.81%,-7.18%,-7.33%,-6.30%
5Y (ann.),1.25%,2.17%,1.01%,2.66%,1.27%,1.76%,1.22%,1.51%,2.71%,0.62%,3.12%
10Y (ann.),-0.37%,0.45%,-0.65%,0.86%,-0.12%,0.10%,-0.41%,-0.45%,0.94%,-1.11%,1.38%
Since Incep. (ann.),-0.37%,0.45%,-0.65%,0.86%,-0.12%,0.10%,-0.41%,-0.45%,0.94%,-1.11%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.05,0.10,-0.09,0.17,-0.00,0.04,-0.05,-0.06,0.19,-0.18,0.27
Daily Mean (ann.),-0.18%,0.39%,-0.37%,0.67%,-0.01%,0.15%,-0.21%,-0.23%,0.72%,-0.70%,1.02%
Daily Vol (ann.),3.89%,3.95%,3.94%,3.82%,3.87%,3.91%,3.88%,3.88%,3.86%,3.88%,3.80%
Daily Skew,-0.06,-0.09,-0.14,-0.02,-0.07,-0.10,-0.09,-0.05,-0.07,-0.07,-0.01
Daily Kurt,-0.08,-0.03,0.02,-0.10,-0.03,-0.07,0.03,-0.01,-0.09,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.80%,-0.82%,-0.82%,-0.78%,-0.97%,-0.78%,-1.03%,-0.90%,-0.81%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.05,0.10,0.02,0.14,0.05,0.07,0.03,0.07,0.14,-0.01,0.19
Monthly Mean (ann.),0.55%,1.22%,0.30%,1.65%,0.66%,0.89%,0.35%,0.81%,1.72%,-0.11%,2.21%
Monthly Vol (ann.),12.17%,11.98%,12.27%,12.07%,12.15%,12.16%,11.98%,12.11%,12.06%,12.24%,11.92%
Monthly Skew,0.51,0.64,0.52,0.55,0.54,0.51,0.58,0.50,0.50,0.52,0.45
Monthly Kurt,-0.15,-0.21,-0.33,-0.24,-0.15,-0.10,0.05,-0.19,-0.15,-0.17,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.15%,-5.55%,-6.03%,-5.60%,-6.03%,-6.98%,-6.61%,-6.03%,-6.15%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.15,0.19,0.10,0.20,0.19,0.21,0.16,0.18,0.22,0.15,0.23
Yearly Mean,3.44%,4.52%,2.24%,4.67%,4.33%,4.72%,2.88%,4.14%,4.92%,3.19%,5.29%
Yearly Vol,22.59%,23.39%,21.49%,23.14%,23.16%,22.44%,18.21%,23.22%,22.50%,20.65%,22.70%
Yearly Skew,1.96,1.70,1.82,1.93,1.86,1.87,1.55,2.03,1.67,1.89,1.88
Yearly Kurt,4.04,3.26,3.52,3.96,3.82,3.77,2.61,4.33,3.20,3.87,3.81
Best Year,42.82%,44.28%,39.18%,44.91%,44.36%,43.53%,33.27%,44.91%,43.07%,38.98%,44.58%
Worst Year,-12.99%,-16.00%,-13.28%,-12.52%,-14.82%,-12.63%,-11.70%,-13.16%,-14.80%,-13.15%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-2.03%,-2.21%,-2.03%,-1.83%,-1.80%,-1.80%,-2.55%,-1.91%,-1.75%,-2.05%,-1.75%
Avg. Drawdown Days,64.28,52.66,63.97,61.67,66.68,66.89,90.14,62.37,61.90,72.46,61.80
Avg. Up Month,3.19%,3.18%,3.35%,3.14%,3.15%,3.07%,3.28%,2.98%,3.01%,3.00%,2.87%
Avg. Down Month,-2.49%,-2.38%,-2.49%,-2.44%,-2.44%,-2.49%,-2.28%,-2.59%,-2.47%,-2.59%,-2.58%
Win Year %,20.00%,40.00%,40.00%,40.00%,40.00%,40.00%,60.00%,20.00%,60.00%,40.00%,40.00%
Win 12m %,49.09%,58.18%,49.09%,52.73%,50.91%,52.73%,54.55%,50.91%,56.36%,50.91%,56.36%
