Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-24.04%,-36.89%,-25.13%,-34.87%,-28.67%,-60.75%,-11.69%,-30.96%,-18.88%,-37.60%,-10.57%
3Y (ann.),-17.92%,-32.01%,-18.32%,-32.71%,-27.56%,-54.36%,-7.17%,-30.46%,-11.04%,-29.38%,-6.30%
5Y (ann.),-9.47%,-22.81%,-11.57%,-27.31%,-17.52%,-50.17%,1.92%,-21.91%,-2.05%,-21.25%,3.12%
10Y (ann.),-12.26%,-25.33%,-12.33%,-28.77%,-18.48%,-51.01%,0.17%,-23.84%,-4.68%,-21.91%,1.38%
Since Incep. (ann.),-12.26%,-25.33%,-12.33%,-28.77%,-18.48%,-51.01%,0.17%,-23.84%,-4.68%,-21.91%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-2.04,-4.14,-2.06,-4.71,-3.04,-8.97,0.05,-3.90,-0.79,-3.59,0.27
Daily Mean (ann.),-8.92%,-20.02%,-8.98%,-23.27%,-13.98%,-49.03%,0.19%,-18.66%,-3.22%,-16.94%,1.02%
Daily Vol (ann.),4.37%,4.83%,4.37%,4.94%,4.60%,5.47%,3.85%,4.78%,4.06%,4.72%,3.80%
Daily Skew,-0.31,-0.31,-0.34,-0.27,-0.28,0.07,-0.04,-0.29,-0.23,-0.32,-0.01
Daily Kurt,0.16,-0.14,0.25,-0.26,-0.09,-0.67,-0.12,-0.16,0.27,-0.06,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-1.07%,-1.15%,-1.11%,-1.09%,-1.09%,-1.08%,-0.76%,-1.11%,-1.11%,-1.13%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.74,-1.83,-0.92,-1.86,-1.31,-3.74,0.08,-1.73,-0.21,-1.57,0.19
Monthly Mean (ann.),-10.48%,-27.39%,-12.13%,-31.68%,-19.14%,-66.53%,0.96%,-25.67%,-2.67%,-23.32%,2.21%
Monthly Vol (ann.),14.09%,14.98%,13.18%,17.08%,14.66%,17.80%,12.14%,14.80%,12.96%,14.89%,11.92%
Monthly Skew,0.47,0.78,0.65,0.57,0.63,1.02,0.54,0.85,0.46,0.65,0.45
Monthly Kurt,-0.38,0.17,0.09,-0.67,-0.10,0.41,-0.19,0.23,-0.33,0.07,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,7.61%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-8.17%,-9.54%,-8.55%,-9.29%,-9.96%,-12.69%,-6.03%,-9.17%,-6.25%,-9.56%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-0.33,-0.86,-0.52,-1.08,-0.68,-5.05,0.19,-0.66,0.02,-0.87,0.23
Yearly Mean,-6.21%,-18.35%,-8.46%,-21.04%,-14.01%,-45.65%,4.15%,-16.21%,0.37%,-16.79%,5.29%
Yearly Vol,18.82%,21.47%,16.21%,19.49%,20.53%,9.04%,22.02%,24.60%,23.79%,19.36%,22.70%
Yearly Skew,1.89,2.18,1.73,1.75,2.11,1.80,1.88,2.05,2.05,2.08,1.88
Yearly Kurt,3.89,4.80,3.24,3.30,4.50,3.20,3.82,4.36,4.40,4.49,3.81
Best Year,26.41%,19.85%,19.16%,12.22%,22.27%,-30.20%,42.25%,27.05%,42.22%,17.37%,44.58%
Worst Year,-21.46%,-30.00%,-20.91%,-35.45%,-26.54%,-51.88%,-13.42%,-33.55%,-17.02%,-30.33%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-51.26%,-80.15%,-52.39%,-84.67%,-68.02%,-49.33%,-2.35%,-77.96%,-3.23%,-74.64%,-1.75%
Avg. Drawdown Days,1998.00,1992.00,1992.00,1992.00,1992.00,998.50,78.04,1992.00,90.43,1992.00,61.80
Avg. Up Month,3.34%,3.79%,2.95%,3.29%,3.81%,5.09%,3.17%,3.45%,3.19%,4.21%,2.87%
Avg. Down Month,-3.51%,-4.27%,-3.33%,-5.67%,-3.83%,-7.04%,-2.41%,-4.28%,-2.80%,-3.79%,-2.58%
Win Year %,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,40.00%,20.00%,20.00%,20.00%,40.00%
Win 12m %,25.45%,18.18%,20.00%,16.36%,20.00%,0.00%,56.36%,18.18%,38.18%,16.36%,56.36%
