Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),11.91%,11.91%,13.03%,3.07%,3.26%,8.23%,7.49%,0.79%,8.06%,6.78%,-6.30%
5Y (ann.),17.65%,15.84%,18.11%,10.97%,10.41%,11.95%,13.50%,7.11%,12.53%,16.78%,3.12%
10Y (ann.),17.09%,14.56%,18.33%,9.93%,9.58%,11.48%,12.21%,5.49%,11.54%,14.85%,1.38%
Since Incep. (ann.),17.09%,14.56%,18.33%,9.93%,9.58%,11.48%,12.21%,5.49%,11.54%,14.85%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.88,2.47,3.08,1.72,1.67,1.97,2.12,0.98,1.99,2.56,0.27
Daily Mean (ann.),10.96%,9.45%,11.68%,6.61%,6.38%,7.57%,8.02%,3.76%,7.61%,9.62%,1.02%
Daily Vol (ann.),3.80%,3.83%,3.79%,3.84%,3.82%,3.85%,3.79%,3.82%,3.83%,3.76%,3.80%
Daily Skew,-0.09,-0.06,-0.10,-0.08,0.01,-0.08,-0.08,-0.01,-0.03,-0.01,-0.01
Daily Kurt,-0.06,-0.13,-0.01,-0.02,-0.12,-0.06,-0.04,-0.08,-0.08,-0.10,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.72%,-0.71%,-0.75%,-0.82%,-0.72%,-0.76%,-0.83%,-0.68%,-0.75%,-0.67%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.84,1.63,1.94,1.17,0.98,1.31,1.36,0.64,1.28,1.58,0.19
Monthly Mean (ann.),16.43%,14.42%,17.38%,10.40%,9.60%,11.67%,12.56%,6.31%,11.99%,15.21%,2.21%
Monthly Vol (ann.),8.94%,8.87%,8.98%,8.86%,9.75%,8.90%,9.24%,9.84%,9.37%,9.63%,11.92%
Monthly Skew,0.92,1.14,0.80,1.00,0.89,0.98,0.99,0.96,0.91,0.45,0.45
Monthly Kurt,0.74,0.83,0.39,0.98,0.97,0.70,0.92,1.04,0.48,0.77,-0.31
Best Month,8.58%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-3.15%,-2.68%,-3.14%,-3.73%,-5.74%,-3.32%,-4.30%,-4.21%,-3.96%,-5.30%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.00,1.20,1.18,0.64,0.61,0.90,0.80,0.43,0.90,0.94,0.23
Yearly Mean,16.45%,14.99%,17.86%,10.45%,11.55%,12.26%,12.12%,7.59%,12.12%,14.29%,5.29%
Yearly Vol,16.44%,12.54%,15.14%,16.41%,18.97%,13.67%,15.07%,17.72%,13.44%,15.19%,22.70%
Yearly Skew,0.95,1.27,0.81,0.67,1.50,1.20,1.02,1.78,1.79,1.64,1.88
Yearly Kurt,1.15,1.70,2.13,2.03,2.77,0.94,1.01,3.61,3.41,3.44,3.81
Best Year,41.94%,35.19%,41.44%,35.62%,43.17%,33.85%,35.69%,37.99%,35.14%,40.06%,44.58%
Worst Year,-1.67%,2.87%,-0.64%,-10.17%,-6.51%,-0.53%,-2.44%,-7.78%,1.60%,-0.35%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.69%,-0.94%,-0.74%,-1.08%,-1.00%,-0.91%,-0.85%,-1.48%,-0.86%,-0.83%,-1.75%
Avg. Drawdown Days,15.50,23.31,15.08,27.02,22.50,21.85,22.34,36.76,20.12,17.31,61.80
Avg. Up Month,2.42%,2.18%,2.65%,2.22%,3.07%,2.63%,2.42%,2.51%,2.56%,2.42%,2.87%
Avg. Down Month,-1.18%,-1.17%,-1.07%,-1.29%,-1.15%,-1.21%,-1.14%,-1.65%,-1.34%,-1.75%,-2.58%
Win Year %,80.00%,100.00%,80.00%,80.00%,80.00%,80.00%,80.00%,60.00%,100.00%,80.00%,40.00%
Win 12m %,98.18%,98.18%,98.18%,94.55%,90.91%,96.36%,96.36%,80.00%,92.73%,96.36%,56.36%
