Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-14.50%,-6.53%,-7.80%,-9.59%,-11.74%,15.34%,0.28%,2.67%,-4.76%,-4.21%,-10.57%
3Y (ann.),-7.98%,-2.95%,-8.69%,-4.08%,-6.54%,9.20%,1.64%,-3.58%,-0.62%,-5.89%,-6.30%
5Y (ann.),1.39%,6.48%,0.93%,4.50%,2.46%,13.10%,8.50%,5.42%,5.87%,2.71%,3.12%
10Y (ann.),-0.20%,4.38%,0.31%,3.45%,1.30%,13.38%,7.06%,4.54%,3.06%,1.60%,1.38%
Since Incep. (ann.),-0.20%,4.38%,0.31%,3.45%,1.30%,13.38%,7.06%,4.54%,3.06%,1.60%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.02,0.79,0.07,0.62,0.25,2.30,1.25,0.82,0.56,0.30,0.27
Daily Mean (ann.),-0.06%,3.03%,0.28%,2.42%,0.97%,8.74%,4.78%,3.14%,2.16%,1.17%,1.02%
Daily Vol (ann.),3.85%,3.83%,3.84%,3.88%,3.83%,3.81%,3.84%,3.84%,3.88%,3.86%,3.80%
Daily Skew,-0.04,-0.01,-0.03,-0.02,0.03,-0.09,-0.12,-0.05,0.02,-0.08,-0.01
Daily Kurt,-0.13,-0.13,-0.10,-0.07,-0.14,0.01,-0.07,-0.07,-0.17,-0.09,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.78%,-0.74%,-0.78%,-0.78%,-0.74%,-0.82%,-0.84%,-0.74%,-0.75%,-0.76%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.10,0.50,0.07,0.44,0.17,1.54,0.76,0.47,0.44,0.18,0.19
Monthly Mean (ann.),1.13%,5.26%,0.84%,4.09%,1.97%,13.46%,7.41%,4.74%,4.15%,1.93%,2.21%
Monthly Vol (ann.),11.89%,10.51%,11.62%,9.28%,11.85%,8.74%,9.79%,10.19%,9.41%,10.68%,11.92%
Monthly Skew,0.59,0.76,0.68,1.09,0.53,0.71,0.99,0.99,1.38,0.97,0.45
Monthly Kurt,-0.07,0.27,0.24,1.10,-0.25,-0.02,1.03,1.17,1.58,0.58,-0.31
Best Month,8.63%,8.63%,8.63%,7.79%,8.63%,7.61%,8.63%,8.63%,8.63%,8.21%,8.69%
Worst Month,-6.51%,-5.00%,-6.47%,-4.40%,-6.01%,-3.50%,-5.37%,-5.91%,-3.17%,-5.34%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.18,0.36,0.11,0.28,0.24,1.02,0.53,0.30,0.45,0.22,0.23
Yearly Mean,3.71%,7.24%,2.67%,5.57%,4.65%,14.06%,8.81%,6.95%,7.94%,4.58%,5.29%
Yearly Vol,20.56%,20.13%,23.58%,19.92%,19.69%,13.81%,16.55%,23.17%,17.56%,21.27%,22.70%
Yearly Skew,1.66,1.81,1.89,1.62,1.42,1.26,1.79,1.56,1.59,1.92,1.88
Yearly Kurt,3.08,3.63,3.58,3.22,2.62,1.81,3.81,2.06,3.41,3.90,3.81
Best Year,38.49%,41.86%,43.38%,39.22%,37.19%,36.31%,37.30%,45.30%,37.62%,41.53%,44.58%
Worst Year,-14.47%,-9.52%,-13.37%,-13.21%,-14.84%,0.24%,-6.14%,-10.40%,-9.40%,-10.53%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.82%,-1.74%,-1.94%,-1.54%,-1.93%,-0.78%,-1.51%,-1.27%,-1.63%,-2.11%,-1.75%
Avg. Drawdown Days,72.15,51.89,65.86,53.74,66.61,22.09,41.40,49.11,41.11,81.48,61.80
Avg. Up Month,3.07%,2.66%,2.94%,2.60%,3.50%,2.57%,2.34%,2.70%,2.58%,2.88%,2.87%
Avg. Down Month,-2.46%,-2.00%,-2.25%,-1.48%,-2.21%,-1.20%,-1.66%,-1.58%,-1.35%,-1.90%,-2.58%
Win Year %,40.00%,60.00%,40.00%,60.00%,60.00%,100.00%,80.00%,40.00%,80.00%,40.00%,40.00%
Win 12m %,52.73%,67.27%,50.91%,70.91%,65.45%,98.18%,87.27%,58.18%,83.64%,52.73%,56.36%
