Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.39%,-10.21%,-10.73%,-10.57%
3Y (ann.),-6.40%,-6.40%,-6.40%,-6.40%,-6.40%,-6.40%,-6.40%,-8.15%,-6.48%,-6.63%,-6.30%
5Y (ann.),3.09%,3.09%,3.09%,3.09%,2.79%,2.93%,3.09%,1.61%,3.04%,2.94%,3.12%
10Y (ann.),1.38%,1.38%,1.38%,1.38%,1.06%,1.23%,1.38%,0.27%,1.33%,1.24%,1.38%
Since Incep. (ann.),1.38%,1.38%,1.38%,1.38%,1.06%,1.23%,1.38%,0.27%,1.33%,1.24%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.27,0.27,0.27,0.27,0.21,0.24,0.27,0.07,0.26,0.24,0.27
Daily Mean (ann.),1.01%,1.01%,1.01%,1.01%,0.80%,0.92%,1.01%,0.26%,0.98%,0.92%,1.02%
Daily Vol (ann.),3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.82%,3.80%,3.80%,3.80%
Daily Skew,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.12,-0.11,-0.12,-0.12,-0.17,-0.12,-0.13,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.18,0.18,0.18,0.18,0.15,0.17,0.18,0.09,0.17,0.17,0.19
Monthly Mean (ann.),2.16%,2.16%,2.16%,2.16%,1.84%,2.02%,2.16%,1.02%,2.11%,2.03%,2.21%
Monthly Vol (ann.),12.10%,12.10%,12.10%,12.10%,12.04%,12.06%,12.10%,11.82%,12.10%,12.15%,11.92%
Monthly Skew,0.47,0.47,0.47,0.47,0.49,0.48,0.47,0.64,0.48,0.47,0.45
Monthly Kurt,-0.22,-0.22,-0.22,-0.22,-0.16,-0.18,-0.22,0.04,-0.21,-0.23,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.59%,-6.03%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.16,0.23,0.23,0.23
Yearly Mean,5.33%,5.33%,5.33%,5.33%,5.04%,5.18%,5.33%,3.58%,5.29%,5.20%,5.29%
Yearly Vol,22.94%,22.94%,22.94%,22.94%,23.04%,22.99%,22.94%,22.38%,23.01%,23.05%,22.70%
Yearly Skew,1.85,1.85,1.85,1.85,1.88,1.87,1.85,1.98,1.83,1.83,1.88
Yearly Kurt,3.71,3.71,3.71,3.71,3.81,3.77,3.71,4.13,3.65,3.66,3.81
Best Year,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,42.68%,44.91%,44.91%,44.58%
Worst Year,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.14%,-13.05%,-13.31%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.75%,-1.75%,-1.75%,-1.75%,-1.80%,-1.77%,-1.75%,-2.02%,-1.76%,-1.77%,-1.75%
Avg. Drawdown Days,61.77,61.77,61.77,61.77,61.77,61.77,61.77,66.29,61.77,61.77,61.80
Avg. Up Month,3.09%,3.09%,3.09%,3.09%,3.04%,3.06%,3.09%,3.17%,3.09%,3.09%,2.87%
Avg. Down Month,-2.47%,-2.47%,-2.47%,-2.47%,-2.47%,-2.47%,-2.47%,-2.25%,-2.48%,-2.49%,-2.58%
Win Year %,60.00%,60.00%,60.00%,60.00%,40.00%,40.00%,60.00%,40.00%,60.00%,60.00%,40.00%
Win 12m %,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,49.09%,56.36%,56.36%,56.36%
