Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),16.94%,10.40%,16.73%,10.74%,8.41%,22.69%,19.23%,17.73%,17.36%,13.66%,-6.30%
5Y (ann.),19.04%,16.34%,17.34%,16.73%,12.21%,24.29%,21.15%,20.45%,19.02%,15.98%,3.12%
10Y (ann.),19.06%,16.42%,16.36%,16.24%,11.61%,23.45%,19.70%,19.21%,17.64%,14.66%,1.38%
Since Incep. (ann.),19.06%,16.42%,16.36%,16.24%,11.61%,23.45%,19.70%,19.21%,17.64%,14.66%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.26,2.82,2.81,2.80,2.03,3.96,3.36,3.28,3.02,2.54,0.27
Daily Mean (ann.),12.11%,10.56%,10.52%,10.46%,7.65%,14.61%,12.48%,12.19%,11.28%,9.51%,1.02%
Daily Vol (ann.),3.71%,3.74%,3.74%,3.74%,3.77%,3.69%,3.72%,3.72%,3.73%,3.75%,3.80%
Daily Skew,-0.07,-0.05,-0.04,-0.02,-0.09,-0.05,-0.05,-0.08,-0.01,-0.10,-0.01
Daily Kurt,-0.06,-0.08,-0.09,-0.13,-0.08,-0.08,-0.08,-0.06,-0.12,-0.05,-0.12
Best Day,0.74%,0.75%,0.75%,0.74%,0.73%,0.75%,0.75%,0.75%,0.75%,0.74%,0.75%
Worst Day,-0.77%,-0.75%,-0.66%,-0.67%,-0.74%,-0.75%,-0.65%,-0.65%,-0.64%,-0.75%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.27,1.96,1.87,2.00,1.65,2.70,2.40,2.40,2.01,1.98,0.19
Monthly Mean (ann.),18.31%,15.67%,16.16%,15.73%,11.45%,21.89%,19.12%,18.24%,17.03%,14.00%,2.21%
Monthly Vol (ann.),8.06%,7.98%,8.63%,7.89%,6.95%,8.10%,7.96%,7.60%,8.48%,7.08%,11.92%
Monthly Skew,0.72,1.11,0.93,1.53,1.23,0.94,1.20,1.27,1.10,1.23,0.45
Monthly Kurt,0.32,1.25,0.89,2.27,1.68,0.62,1.09,1.39,0.97,1.51,-0.31
Best Month,8.07%,8.63%,8.67%,8.63%,6.91%,8.63%,8.67%,8.63%,8.67%,7.10%,8.69%
Worst Month,-2.98%,-2.18%,-3.55%,-1.75%,-2.49%,-1.78%,-1.82%,-1.67%,-2.52%,-1.75%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.92,1.23,1.85,1.01,0.88,1.70,1.97,1.40,1.60,1.34,0.23
Yearly Mean,18.12%,15.72%,15.75%,15.92%,12.69%,22.73%,19.28%,19.70%,17.97%,15.53%,5.29%
Yearly Vol,9.43%,12.77%,8.49%,15.70%,14.48%,13.40%,9.80%,14.11%,11.20%,11.61%,22.70%
Yearly Skew,0.48,0.27,0.57,0.90,1.69,-0.30,0.77,0.97,0.26,0.21,1.88
Yearly Kurt,1.68,1.90,-1.77,1.93,3.06,-0.23,0.76,0.64,-0.92,1.33,3.81
Best Year,32.19%,34.39%,27.28%,40.50%,37.21%,39.37%,34.08%,41.43%,32.92%,32.13%,44.58%
Worst Year,5.93%,-1.57%,7.30%,-2.59%,0.47%,4.14%,8.08%,5.46%,4.25%,-0.08%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.53%,-0.61%,-0.53%,-0.66%,-0.73%,-0.48%,-0.48%,-0.60%,-0.56%,-0.67%,-1.75%
Avg. Drawdown Days,10.41,13.52,12.14,14.02,18.48,9.31,9.53,11.80,11.99,15.08,61.80
Avg. Up Month,2.37%,2.25%,2.59%,2.13%,1.85%,2.64%,2.30%,2.13%,2.49%,1.95%,2.87%
Avg. Down Month,-1.06%,-0.98%,-0.93%,-0.68%,-0.81%,-0.69%,-0.76%,-0.69%,-0.82%,-0.74%,-2.58%
Win Year %,100.00%,80.00%,100.00%,80.00%,100.00%,100.00%,100.00%,100.00%,100.00%,80.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.18%,56.36%
