Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-3.84%,1.73%,2.05%,2.53%,-0.71%,-2.70%,6.50%,-1.29%,2.06%,1.28%,-9.39%
3Y (ann.),0.61%,1.11%,-1.40%,0.97%,-1.07%,-1.59%,2.18%,0.42%,0.46%,1.62%,-5.69%
5Y (ann.),-0.34%,3.00%,-1.77%,1.37%,-0.47%,0.99%,1.56%,-3.77%,0.28%,0.86%,3.42%
10Y (ann.),-0.88%,2.09%,-1.63%,1.48%,-1.03%,1.44%,1.73%,-4.23%,-0.03%,0.28%,1.46%
Since Incep. (ann.),-0.88%,2.09%,-1.63%,1.48%,-1.03%,1.44%,1.73%,-4.23%,-0.03%,0.28%,1.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.14,0.39,-0.28,0.29,-0.17,0.28,0.33,-0.77,0.01,0.07,0.28
Daily Mean (ann.),-0.53%,1.50%,-1.06%,1.09%,-0.64%,1.06%,1.26%,-2.91%,0.05%,0.26%,1.07%
Daily Vol (ann.),3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%
Daily Skew,0.08,0.00,0.07,0.01,-0.03,-0.09,-0.01,0.01,0.04,-0.07,-0.00
Daily Kurt,-0.11,-0.12,-0.11,-0.12,-0.12,-0.11,-0.11,-0.11,-0.12,-0.11,-0.12
Best Day,0.75%,0.74%,0.74%,0.74%,0.75%,0.75%,0.74%,0.75%,0.75%,0.74%,0.75%
Worst Day,-0.72%,-0.75%,-0.75%,-0.75%,-0.74%,-0.72%,-0.75%,-0.74%,-0.71%,-0.75%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.20,0.60,-0.26,0.39,-0.19,0.23,0.34,-0.83,0.08,0.05,0.22
Monthly Mean (ann.),-0.99%,2.58%,-1.21%,1.67%,-0.77%,1.02%,1.69%,-3.92%,0.36%,0.24%,2.58%
Monthly Vol (ann.),5.03%,4.30%,4.74%,4.27%,4.16%,4.46%,4.99%,4.72%,4.52%,4.67%,11.53%
Monthly Skew,0.33,-0.13,-0.38,0.18,-0.18,-0.04,-0.27,-0.25,0.04,0.23,0.48
Monthly Kurt,0.55,-0.36,-0.20,-0.36,0.36,0.06,0.47,-0.28,0.46,-0.36,-0.62
Best Month,4.06%,2.78%,2.40%,3.16%,2.79%,3.01%,3.47%,2.52%,3.00%,3.58%,8.07%
Worst Month,-2.85%,-2.44%,-3.54%,-2.39%,-3.41%,-3.05%,-4.13%,-3.53%,-3.79%,-2.60%,-5.36%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.34,0.52,-0.73,0.38,-0.12,0.29,0.42,-0.46,0.07,0.30,0.25
Yearly Mean,0.44%,1.39%,-2.46%,1.99%,-0.42%,1.02%,2.52%,-2.17%,0.23%,0.97%,5.62%
Yearly Vol,1.29%,2.70%,3.39%,5.24%,3.35%,3.54%,5.94%,4.74%,3.25%,3.20%,22.17%
Yearly Skew,0.07,-0.21,1.22,-1.63,-1.00,1.47,-1.40,-1.58,1.15,0.62,1.99
Yearly Kurt,-1.64,-2.91,1.08,3.43,1.32,2.01,2.36,3.17,1.56,0.68,4.15
Best Year,2.03%,4.27%,2.92%,7.07%,3.14%,6.84%,8.33%,2.36%,5.41%,5.72%,44.40%
Worst Year,-1.16%,-1.46%,-5.67%,-6.90%,-5.67%,-1.73%,-7.24%,-10.15%,-2.97%,-2.84%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.53%,-1.07%,-2.33%,-1.14%,-2.34%,-1.08%,-0.98%,-23.58%,-2.22%,-1.44%,-1.75%
Avg. Drawdown Days,198.00,52.11,164.58,66.69,164.33,47.83,60.66,1998.00,283.57,103.32,61.97
Avg. Up Month,1.02%,1.05%,1.12%,1.10%,0.91%,0.97%,1.13%,0.91%,1.10%,1.11%,3.04%
Avg. Down Month,-1.16%,-0.95%,-1.08%,-0.91%,-0.95%,-1.02%,-1.17%,-1.21%,-0.94%,-1.04%,-2.52%
Win Year %,60.00%,60.00%,20.00%,80.00%,40.00%,40.00%,80.00%,20.00%,60.00%,60.00%,40.00%
Win 12m %,50.91%,74.55%,29.09%,61.82%,50.91%,69.09%,65.45%,30.91%,58.18%,54.55%,60.00%
