Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),27.66%,21.51%,18.36%,28.18%,21.67%,26.21%,25.09%,24.62%,22.13%,21.10%,-5.69%
5Y (ann.),32.17%,25.30%,23.63%,32.03%,27.67%,28.85%,31.21%,30.18%,29.16%,25.74%,3.42%
10Y (ann.),31.21%,24.26%,23.29%,31.37%,26.58%,28.07%,31.03%,29.38%,28.67%,24.62%,1.46%
Since Incep. (ann.),31.21%,24.26%,23.29%,31.37%,26.58%,28.07%,31.03%,29.38%,28.67%,24.62%,1.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,5.21,4.09,3.93,5.23,4.46,4.70,5.18,4.91,4.80,4.15,0.28
Daily Mean (ann.),18.81%,15.06%,14.52%,18.90%,16.33%,17.14%,18.72%,17.84%,17.47%,15.26%,1.07%
Daily Vol (ann.),3.61%,3.68%,3.69%,3.61%,3.66%,3.65%,3.61%,3.63%,3.64%,3.68%,3.80%
Daily Skew,0.00,-0.05,-0.01,0.01,0.01,-0.04,0.02,-0.06,-0.07,-0.03,-0.00
Daily Kurt,-0.12,-0.07,-0.11,-0.13,-0.13,-0.07,-0.15,-0.05,-0.04,-0.10,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.65%,-0.66%,-0.72%,-0.65%,-0.68%,-0.65%,-0.65%,-0.62%,-0.65%,-0.68%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,3.64,2.83,2.76,3.56,3.27,3.35,4.24,3.43,3.32,2.87,0.22
Monthly Mean (ann.),28.10%,22.50%,21.73%,27.73%,24.43%,25.64%,27.71%,26.88%,26.32%,22.94%,2.58%
Monthly Vol (ann.),7.71%,7.94%,7.86%,7.78%,7.46%,7.65%,6.53%,7.84%,7.93%,7.99%,11.53%
Monthly Skew,0.43,1.03,0.76,0.43,0.80,0.69,0.85,0.62,0.19,0.71,0.48
Monthly Kurt,-0.31,0.84,0.13,-0.39,0.02,-0.11,0.29,-0.05,-0.49,-0.04,-0.62
Best Month,7.62%,8.50%,7.62%,7.62%,7.62%,7.62%,7.62%,7.62%,7.36%,7.62%,8.07%
Worst Month,-1.74%,-1.60%,-2.08%,-2.21%,-1.35%,-1.00%,-0.56%,-1.64%,-2.19%,-1.99%,-5.36%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.76,1.56,1.51,2.16,1.46,1.90,1.73,1.59,1.46,1.36,0.25
Yearly Mean,29.87%,24.25%,22.39%,30.15%,25.69%,28.40%,28.54%,30.08%,26.92%,25.43%,5.62%
Yearly Vol,17.02%,15.57%,14.79%,13.97%,17.61%,14.92%,16.47%,18.90%,18.44%,18.66%,22.17%
Yearly Skew,1.10,1.37,1.06,0.42,1.17,1.33,1.34,0.95,1.62,0.70,1.99
Yearly Kurt,2.63,1.72,2.58,2.04,1.72,2.36,2.82,1.94,2.86,0.31,4.15
Best Year,57.28%,49.51%,46.11%,51.01%,53.86%,52.80%,55.68%,59.82%,57.93%,53.04%,44.40%
Worst Year,10.25%,9.90%,5.16%,11.69%,7.68%,13.10%,11.04%,8.16%,12.24%,3.89%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.41%,-0.49%,-0.54%,-0.42%,-0.45%,-0.41%,-0.40%,-0.45%,-0.42%,-0.52%,-1.75%
Avg. Drawdown Days,6.96,9.54,11.02,7.47,8.35,7.82,6.74,8.54,7.38,9.36,61.97
Avg. Up Month,2.80%,2.43%,2.63%,2.85%,2.46%,2.75%,2.48%,2.85%,2.92%,2.64%,3.04%
Avg. Down Month,-0.92%,-0.87%,-0.70%,-0.66%,-0.62%,-0.57%,-0.26%,-0.76%,-1.02%,-0.75%,-2.52%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,60.00%
