Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),25.93%,18.64%,16.88%,31.96%,16.09%,18.54%,13.14%,16.44%,15.38%,16.91%,-5.69%
5Y (ann.),28.47%,21.99%,22.23%,33.46%,19.67%,23.51%,17.62%,21.54%,21.05%,23.44%,3.42%
10Y (ann.),28.01%,20.24%,21.24%,32.63%,18.41%,22.57%,17.23%,21.11%,19.93%,22.47%,1.46%
Since Incep. (ann.),28.01%,20.24%,21.24%,32.63%,18.41%,22.57%,17.23%,21.11%,19.93%,22.47%,1.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,4.69,3.44,3.60,5.44,3.15,3.82,2.95,3.58,3.39,3.80,0.28
Daily Mean (ann.),17.11%,12.79%,13.36%,19.56%,11.73%,14.12%,11.04%,13.29%,12.61%,14.06%,1.07%
Daily Vol (ann.),3.65%,3.72%,3.71%,3.60%,3.73%,3.70%,3.74%,3.71%,3.72%,3.70%,3.80%
Daily Skew,-0.08,-0.08,-0.06,-0.02,-0.00,-0.04,-0.01,0.02,-0.04,-0.04,-0.00
Daily Kurt,-0.03,-0.06,-0.07,-0.09,-0.12,-0.08,-0.11,-0.14,-0.09,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.65%,-0.68%,-0.65%,-0.62%,-0.68%,-0.65%,-0.66%,-0.65%,-0.73%,-0.66%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,3.70,2.41,2.71,4.14,2.07,2.82,1.98,2.69,2.40,2.57,0.22
Monthly Mean (ann.),25.63%,19.05%,20.18%,28.88%,17.67%,20.98%,16.69%,19.70%,19.01%,20.98%,2.58%
Monthly Vol (ann.),6.93%,7.91%,7.44%,6.98%,8.52%,7.44%,8.43%,7.34%,7.92%,8.17%,11.53%
Monthly Skew,0.87,0.83,1.26,0.99,0.69,0.99,0.68,1.04,0.57,0.85,0.48
Monthly Kurt,0.51,0.31,1.32,0.81,0.19,0.39,0.16,1.13,0.35,0.06,-0.62
Best Month,7.62%,7.62%,7.80%,8.28%,7.62%,7.62%,7.62%,7.62%,7.62%,7.62%,8.07%
Worst Month,-1.82%,-2.30%,-1.64%,-0.54%,-3.65%,-1.79%,-3.53%,-2.31%,-3.01%,-1.70%,-5.36%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.85,1.31,1.36,2.41,1.23,1.46,1.24,1.33,1.15,1.27,0.25
Yearly Mean,27.90%,21.74%,20.66%,30.96%,19.96%,21.78%,17.93%,19.69%,20.68%,21.61%,5.62%
Yearly Vol,15.05%,16.57%,15.18%,12.83%,16.22%,14.96%,14.44%,14.80%,18.06%,16.97%,22.17%
Yearly Skew,0.38,1.55,1.54,-0.29,1.55,0.98,1.14,0.67,1.56,1.23,1.99
Yearly Kurt,2.04,2.73,2.87,0.61,3.26,1.59,0.78,1.67,2.95,2.65,4.15
Best Year,50.25%,49.42%,46.05%,47.59%,47.25%,45.27%,40.55%,42.23%,50.97%,49.25%,44.40%
Worst Year,7.83%,6.57%,6.28%,12.79%,3.81%,5.23%,4.20%,1.39%,3.84%,2.92%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.44%,-0.56%,-0.51%,-0.38%,-0.64%,-0.56%,-0.61%,-0.53%,-0.56%,-0.54%,-1.75%
Avg. Drawdown Days,7.27,11.15,10.34,6.15,14.39,9.78,13.30,9.59,10.39,10.11,61.97
Avg. Up Month,2.34%,2.46%,2.19%,2.64%,2.47%,2.37%,2.67%,2.33%,2.49%,2.57%,3.04%
Avg. Down Month,-0.96%,-0.88%,-0.58%,-0.35%,-1.13%,-0.52%,-0.95%,-0.65%,-0.97%,-0.78%,-2.52%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,96.36%,100.00%,100.00%,100.00%,60.00%
