Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,1.68%,-11.15%,21.78%,-13.85%,-9.34%,4.78%,-13.68%,-5.06%,4.95%,-10.09%,-10.57%
3Y (ann.),2.70%,-9.39%,11.67%,-9.86%,-7.44%,5.66%,-9.15%,-10.24%,7.89%,-10.62%,-6.30%
5Y (ann.),7.93%,-0.09%,15.77%,-1.31%,0.10%,8.55%,-2.57%,-1.14%,10.01%,-1.61%,3.12%
10Y (ann.),6.83%,-1.77%,16.09%,-2.63%,-0.82%,7.78%,-3.40%,-2.21%,8.61%,-1.93%,1.38%
Since Incep. (ann.),6.83%,-1.77%,16.09%,-2.63%,-0.82%,7.78%,-3.40%,-2.21%,8.61%,-1.93%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,1.17,-0.29,2.72,-0.43,-0.13,1.31,-0.58,-0.36,1.46,-0.32,0.27
Daily Mean (ann.),4.64%,-1.15%,10.37%,-1.76%,-0.49%,5.25%,-2.31%,-1.46%,5.78%,-1.27%,1.02%
Daily Vol (ann.),3.97%,3.96%,3.82%,4.07%,3.92%,3.99%,3.99%,4.01%,3.97%,3.98%,3.80%
Daily Skew,-0.16,-0.05,-0.06,-0.14,-0.03,-0.12,-0.09,-0.10,-0.15,-0.10,-0.01
Daily Kurt,-0.02,-0.12,-0.08,0.03,-0.16,-0.08,-0.16,-0.04,0.09,-0.04,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.81%,-0.77%,-0.74%,-0.85%,-0.74%,-0.82%,-0.81%,-0.81%,-0.92%,-0.83%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.81,-0.05,1.70,-0.18,-0.03,0.97,-0.23,-0.16,0.96,-0.15,0.19
Monthly Mean (ann.),7.22%,-0.59%,16.15%,-1.81%,-0.35%,7.99%,-2.61%,-1.81%,9.10%,-1.70%,2.21%
Monthly Vol (ann.),8.88%,11.48%,9.47%,9.87%,10.88%,8.24%,11.60%,11.00%,9.45%,11.26%,11.92%
Monthly Skew,1.48,0.62,0.66,1.32,0.87,1.09,0.67,1.01,0.81,0.82,0.45
Monthly Kurt,2.15,0.08,0.38,1.39,0.57,1.64,0.63,1.10,-0.03,0.41,-0.31
Best Month,8.63%,8.63%,8.63%,7.61%,8.63%,8.63%,8.63%,8.63%,7.57%,8.00%,8.69%
Worst Month,-3.23%,-6.10%,-4.79%,-4.68%,-5.60%,-3.65%,-7.29%,-6.85%,-3.62%,-6.15%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.53,0.09,1.02,0.02,0.07,0.85,-0.02,0.05,0.99,0.07,0.23
Yearly Mean,7.33%,1.71%,15.90%,0.46%,1.43%,8.18%,-0.31%,1.04%,11.55%,1.50%,5.29%
Yearly Vol,13.74%,19.75%,15.59%,19.87%,19.49%,9.58%,17.01%,23.01%,11.72%,21.18%,22.70%
Yearly Skew,1.44,1.68,1.32,1.69,1.91,0.75,1.68,1.62,0.43,1.86,1.88
Yearly Kurt,2.67,3.07,1.88,3.02,3.77,-0.72,3.06,2.36,1.06,3.58,3.81
Best Year,30.09%,35.16%,41.17%,34.10%,35.20%,22.08%,28.51%,39.45%,28.73%,38.01%,44.58%
Worst Year,-6.21%,-13.85%,0.64%,-15.55%,-12.91%,-1.43%,-13.37%,-16.65%,-3.31%,-13.58%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.36%,-2.86%,-0.71%,-3.05%,-2.84%,-1.17%,-3.70%,-2.90%,-1.47%,-2.46%,-1.75%
Avg. Drawdown Days,39.80,90.19,13.89,100.16,104.78,32.07,127.67,85.23,34.98,85.77,61.80
Avg. Up Month,2.70%,2.67%,2.68%,3.06%,2.86%,2.16%,3.19%,2.99%,2.75%,2.69%,2.87%
Avg. Down Month,-1.09%,-2.53%,-1.27%,-1.68%,-2.08%,-1.18%,-2.21%,-1.99%,-1.42%,-2.43%,-2.58%
Win Year %,80.00%,40.00%,100.00%,40.00%,40.00%,80.00%,20.00%,40.00%,80.00%,40.00%,40.00%
Win 12m %,92.73%,45.45%,92.73%,45.45%,47.27%,92.73%,34.55%,47.27%,89.09%,36.36%,56.36%
