Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-10.46%,0.86%,-0.15%,10.78%,-10.46%,-10.46%,-10.46%,-20.77%,10.78%,-10.46%,-10.57%
3Y (ann.),-6.40%,-6.57%,-4.05%,5.89%,-6.40%,-6.40%,-6.40%,-13.17%,5.89%,-6.40%,-6.30%
5Y (ann.),3.09%,-1.75%,0.24%,-3.88%,3.09%,3.09%,3.09%,-8.57%,-3.88%,3.09%,3.12%
10Y (ann.),1.38%,-3.35%,-1.00%,-2.25%,1.38%,1.38%,1.38%,-8.21%,-2.25%,1.38%,1.38%
Since Incep. (ann.),1.38%,-3.35%,-1.00%,-2.25%,1.38%,1.38%,1.38%,-8.21%,-2.25%,1.38%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.27,-0.40,-0.12,-0.39,0.27,0.27,0.27,-1.06,-0.39,0.27,0.27
Daily Mean (ann.),1.01%,-2.20%,-0.57%,-1.50%,1.01%,1.01%,1.01%,-5.76%,-1.50%,1.01%,1.02%
Daily Vol (ann.),3.80%,5.47%,4.93%,3.80%,3.80%,3.80%,3.80%,5.41%,3.80%,3.80%,3.80%
Daily Skew,-0.01,-1.49,-1.18,0.01,-0.01,-0.01,-0.01,-1.28,0.01,-0.01,-0.01
Daily Kurt,-0.12,3.37,2.81,-0.12,-0.12,-0.12,-0.12,2.54,-0.12,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%
Worst Day,-0.74%,-1.51%,-1.49%,-0.76%,-0.74%,-0.74%,-0.74%,-1.61%,-0.76%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.18,-0.18,-0.04,-0.14,0.18,0.18,0.18,-0.55,-0.14,0.18,0.19
Monthly Mean (ann.),2.16%,-2.28%,-0.43%,-1.65%,2.16%,2.16%,2.16%,-6.96%,-1.65%,2.16%,2.21%
Monthly Vol (ann.),12.10%,12.88%,11.55%,11.92%,12.10%,12.10%,12.10%,12.59%,11.92%,12.10%,11.92%
Monthly Skew,0.47,0.30,0.64,-0.33,0.47,0.47,0.47,0.60,-0.33,0.47,0.45
Monthly Kurt,-0.22,-0.27,-0.08,-0.36,-0.22,-0.22,-0.22,0.13,-0.36,-0.22,-0.31
Best Month,8.63%,8.63%,8.63%,6.31%,8.63%,8.63%,8.63%,8.63%,6.31%,8.63%,8.69%
Worst Month,-6.03%,-7.23%,-6.53%,-8.06%,-6.03%,-6.03%,-6.03%,-6.99%,-8.06%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.23,0.12,0.13,-0.16,0.23,0.23,0.23,-0.44,-0.16,0.23,0.23
Yearly Mean,5.33%,2.88%,1.19%,-2.80%,5.33%,5.33%,5.33%,-5.31%,-2.80%,5.33%,5.29%
Yearly Vol,22.94%,24.11%,9.39%,17.57%,22.94%,22.94%,22.94%,12.02%,17.57%,22.94%,22.70%
Yearly Skew,1.85,1.87,0.99,-1.37,1.85,1.85,1.85,1.16,-1.37,1.85,1.88
Yearly Kurt,3.71,3.97,1.10,2.42,3.71,3.71,3.71,1.06,2.42,3.71,3.81
Best Year,44.91%,44.66%,15.82%,14.61%,44.91%,44.91%,44.91%,13.70%,14.61%,44.91%,44.58%
Worst Year,-13.05%,-17.70%,-8.71%,-31.67%,-13.05%,-13.05%,-13.05%,-16.09%,-31.67%,-13.05%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.75%,-3.35%,-3.07%,-2.17%,-1.75%,-1.75%,-1.75%,-9.75%,-2.17%,-1.75%,-1.75%
Avg. Drawdown Days,61.77,95.35,87.09,76.76,61.77,61.77,61.77,219.00,76.76,61.77,61.80
Avg. Up Month,3.09%,2.88%,2.98%,2.49%,3.09%,3.09%,3.09%,2.84%,2.49%,3.09%,2.87%
Avg. Down Month,-2.47%,-2.99%,-2.46%,-3.01%,-2.47%,-2.47%,-2.47%,-3.01%,-3.01%,-2.47%,-2.58%
Win Year %,60.00%,20.00%,60.00%,40.00%,60.00%,60.00%,60.00%,20.00%,40.00%,60.00%,40.00%
Win 12m %,56.36%,32.73%,52.73%,40.00%,56.36%,56.36%,56.36%,36.36%,40.00%,56.36%,56.36%
