Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-11.99%,-13.94%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-12.38%,-13.56%,-13.85%,-10.57%
3Y (ann.),-7.98%,-8.51%,-8.46%,-6.91%,-8.38%,-7.09%,-6.40%,-7.95%,-7.50%,-8.08%,-6.30%
5Y (ann.),2.04%,1.04%,1.72%,2.40%,1.78%,1.80%,1.82%,1.77%,2.37%,1.09%,3.12%
10Y (ann.),0.08%,-0.47%,0.15%,0.75%,0.11%,0.22%,0.24%,0.19%,0.72%,-0.42%,1.38%
Since Incep. (ann.),0.08%,-0.47%,0.15%,0.75%,0.11%,0.22%,0.24%,0.19%,0.72%,-0.42%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.03,-0.06,0.05,0.15,0.04,0.06,0.06,0.05,0.15,-0.05,0.27
Daily Mean (ann.),0.13%,-0.25%,0.18%,0.59%,0.15%,0.23%,0.24%,0.20%,0.57%,-0.21%,1.02%
Daily Vol (ann.),3.90%,3.95%,3.93%,3.85%,3.92%,3.94%,3.89%,3.90%,3.87%,3.96%,3.80%
Daily Skew,-0.18,-0.31,-0.32,-0.10,-0.23,-0.33,-0.28,-0.25,-0.17,-0.29,-0.01
Daily Kurt,0.44,1.08,1.32,0.17,0.68,1.26,1.29,0.91,0.56,0.85,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-1.21%,-1.42%,-1.42%,-1.03%,-1.27%,-1.52%,-1.63%,-1.40%,-1.37%,-1.20%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.10,0.03,0.08,0.13,0.07,0.08,0.08,0.08,0.12,0.03,0.19
Monthly Mean (ann.),1.24%,0.35%,0.96%,1.55%,0.90%,1.01%,1.01%,0.99%,1.53%,0.41%,2.21%
Monthly Vol (ann.),12.29%,12.42%,12.34%,12.19%,12.16%,12.21%,11.96%,12.24%,12.29%,12.54%,11.92%
Monthly Skew,0.47,0.44,0.46,0.50,0.53,0.51,0.54,0.48,0.45,0.43,0.45
Monthly Kurt,-0.28,-0.27,-0.28,-0.25,-0.19,-0.20,-0.06,-0.20,-0.28,-0.32,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.03%,-6.08%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.19,0.14,0.17,0.22,0.17,0.18,0.19,0.17,0.20,0.18,0.23
Yearly Mean,4.34%,3.24%,4.02%,5.03%,4.10%,3.90%,3.59%,4.05%,4.62%,4.28%,5.29%
Yearly Vol,23.37%,22.66%,23.39%,23.16%,23.51%,21.91%,19.23%,23.34%,23.12%,23.41%,22.70%
Yearly Skew,1.91,1.93,1.99,1.83,1.92,1.88,1.69,2.00,1.95,1.90,1.88
Yearly Kurt,3.89,4.03,4.15,3.62,3.88,3.75,3.22,4.21,4.06,3.93,3.81
Best Year,44.91%,42.66%,44.91%,44.91%,44.91%,41.79%,36.23%,44.91%,44.91%,44.91%,44.58%
Worst Year,-13.05%,-14.88%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-14.44%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.93%,-2.01%,-1.92%,-1.84%,-1.93%,-1.93%,-1.87%,-1.91%,-1.84%,-1.92%,-1.75%
Avg. Drawdown Days,62.07,61.87,61.77,62.00,61.80,64.48,64.62,61.77,61.77,66.71,61.80
Avg. Up Month,3.18%,3.10%,3.05%,3.09%,3.22%,3.09%,3.02%,2.99%,3.09%,3.16%,2.87%
Avg. Down Month,-2.53%,-2.60%,-2.63%,-2.57%,-2.46%,-2.49%,-2.43%,-2.57%,-2.57%,-2.65%,-2.58%
Win Year %,40.00%,20.00%,20.00%,60.00%,40.00%,40.00%,60.00%,20.00%,40.00%,40.00%,40.00%
Win 12m %,49.09%,47.27%,45.45%,54.55%,52.73%,54.55%,56.36%,49.09%,49.09%,47.27%,56.36%
