Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,6.74%,-17.71%,-4.03%,-30.63%,-11.27%,-13.72%,-10.46%,-18.86%,-15.61%,-12.21%,-10.57%
3Y (ann.),7.40%,-14.11%,-1.79%,-21.15%,-5.94%,-16.28%,-6.40%,-22.24%,-11.97%,-10.54%,-6.30%
5Y (ann.),9.27%,-4.74%,8.24%,-12.99%,3.40%,-12.21%,3.09%,-13.09%,-3.56%,0.10%,3.12%
10Y (ann.),8.47%,-6.10%,8.99%,-14.39%,1.53%,-12.56%,1.38%,-14.46%,-4.77%,-1.29%,1.38%
Since Incep. (ann.),8.47%,-6.10%,8.99%,-14.39%,1.53%,-12.56%,1.38%,-14.46%,-4.77%,-1.29%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,1.40,-1.02,1.58,-2.39,0.29,-1.92,0.27,-2.33,-0.80,-0.20,0.27
Daily Mean (ann.),5.70%,-4.25%,6.01%,-10.62%,1.12%,-9.15%,1.01%,-10.67%,-3.29%,-0.82%,1.02%
Daily Vol (ann.),4.07%,4.17%,3.80%,4.45%,3.82%,4.78%,3.80%,4.58%,4.10%,3.99%,3.80%
Daily Skew,-0.27,-0.17,-0.09,-0.31,-0.02,-0.33,-0.01,-0.33,-0.24,-0.18,-0.01
Daily Kurt,0.31,-0.03,-0.09,0.17,-0.05,-0.14,-0.12,0.06,0.33,0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.74%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.96%,-0.87%,-0.74%,-1.08%,-0.79%,-1.05%,-0.74%,-1.01%,-1.12%,-0.99%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.90,-0.38,0.79,-1.03,0.19,-1.28,0.18,-1.16,-0.34,-0.04,0.19
Monthly Mean (ann.),9.57%,-4.84%,9.35%,-14.22%,2.32%,-12.40%,2.16%,-14.81%,-4.14%,-0.47%,2.21%
Monthly Vol (ann.),10.66%,12.68%,11.83%,13.85%,12.08%,9.66%,12.10%,12.72%,12.15%,12.59%,11.92%
Monthly Skew,0.68,0.41,-0.02,0.63,0.47,0.77,0.47,0.99,0.47,0.37,0.45
Monthly Kurt,0.20,-0.14,-0.17,-0.17,-0.20,0.38,-0.22,0.89,-0.25,-0.17,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,7.46%,8.63%,8.63%,7.61%,8.63%,8.69%
Worst Month,-5.70%,-7.60%,-7.13%,-7.18%,-6.03%,-6.28%,-6.03%,-8.71%,-7.52%,-6.39%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.73,-0.05,0.39,-0.33,0.25,-1.35,0.23,-0.43,-0.01,0.10,0.23
Yearly Mean,8.97%,-1.26%,7.98%,-8.13%,5.64%,-10.50%,5.33%,-9.79%,-0.24%,2.24%,5.29%
Yearly Vol,12.20%,23.14%,20.67%,24.36%,22.90%,7.75%,22.94%,22.64%,21.69%,22.17%,22.70%
Yearly Skew,1.42,1.71,2.22,2.09,1.79,1.54,1.85,1.68,2.05,1.75,1.88
Yearly Kurt,1.76,3.12,4.96,4.52,3.51,2.39,3.71,2.80,4.38,3.24,3.81
Best Year,28.87%,38.03%,44.91%,34.87%,44.91%,2.38%,44.91%,28.40%,37.93%,40.03%,44.58%
Worst Year,-1.42%,-18.64%,-2.56%,-25.42%,-13.05%,-17.18%,-13.05%,-27.90%,-15.57%,-14.08%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.21%,-3.41%,-0.81%,-58.19%,-1.73%,-28.88%,-1.75%,-11.11%,-4.77%,-2.45%,-1.75%
Avg. Drawdown Days,35.86,90.67,26.98,1992.00,61.83,995.50,61.77,246.88,137.21,74.76,61.80
Avg. Up Month,3.02%,3.03%,2.94%,3.03%,3.09%,2.35%,3.09%,3.88%,2.74%,3.28%,2.87%
Avg. Down Month,-1.64%,-2.84%,-2.47%,-3.65%,-2.44%,-2.54%,-2.47%,-2.90%,-2.83%,-2.55%,-2.58%
Win Year %,80.00%,20.00%,40.00%,20.00%,60.00%,20.00%,60.00%,20.00%,20.00%,40.00%,40.00%
Win 12m %,81.82%,36.36%,56.36%,21.82%,58.18%,9.09%,56.36%,21.82%,32.73%,43.64%,56.36%
