Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.46%,-10.57%
3Y (ann.),-6.40%,-7.05%,-6.40%,-6.77%,-6.40%,-6.40%,-6.40%,-6.40%,-6.40%,-6.40%,-6.30%
5Y (ann.),3.09%,2.69%,3.09%,2.85%,3.09%,3.09%,3.09%,3.09%,3.09%,3.09%,3.12%
10Y (ann.),1.38%,0.80%,1.38%,1.16%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%
Since Incep. (ann.),1.38%,0.80%,1.38%,1.16%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.27,0.16,0.27,0.23,0.27,0.27,0.27,0.27,0.27,0.27,0.27
Daily Mean (ann.),1.01%,0.62%,1.01%,0.87%,1.01%,1.01%,1.01%,1.01%,1.01%,1.01%,1.02%
Daily Vol (ann.),3.80%,3.84%,3.80%,3.81%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%
Daily Skew,-0.01,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Daily Kurt,-0.12,-0.05,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.75%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.18,0.14,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19
Monthly Mean (ann.),2.16%,1.67%,2.16%,1.95%,2.16%,2.16%,2.16%,2.16%,2.16%,2.16%,2.21%
Monthly Vol (ann.),12.10%,12.20%,12.10%,12.15%,12.10%,12.10%,12.10%,12.10%,12.10%,12.10%,11.92%
Monthly Skew,0.47,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.45
Monthly Kurt,-0.22,-0.25,-0.22,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.03%,-6.11%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.23,0.21,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23
Yearly Mean,5.33%,4.98%,5.33%,5.10%,5.33%,5.33%,5.33%,5.33%,5.33%,5.33%,5.29%
Yearly Vol,22.94%,23.25%,22.94%,23.04%,22.94%,22.94%,22.94%,22.94%,22.94%,22.94%,22.70%
Yearly Skew,1.85,1.81,1.85,1.87,1.85,1.85,1.85,1.85,1.85,1.85,1.88
Yearly Kurt,3.71,3.53,3.71,3.77,3.71,3.71,3.71,3.71,3.71,3.71,3.81
Best Year,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.91%,44.58%
Worst Year,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-13.05%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.75%,-1.83%,-1.75%,-1.78%,-1.75%,-1.75%,-1.75%,-1.75%,-1.75%,-1.75%,-1.75%
Avg. Drawdown Days,61.77,61.90,61.77,61.77,61.77,61.77,61.77,61.77,61.77,61.77,61.80
Avg. Up Month,3.09%,3.00%,3.09%,3.09%,3.09%,3.09%,3.09%,3.09%,3.09%,3.09%,2.87%
Avg. Down Month,-2.47%,-2.63%,-2.47%,-2.50%,-2.47%,-2.47%,-2.47%,-2.47%,-2.47%,-2.47%,-2.58%
Win Year %,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,40.00%
Win 12m %,56.36%,54.55%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%,56.36%
