Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-11.11%,3.61%,-3.84%,-1.19%,-3.22%,13.08%,8.46%,9.94%,-5.29%,3.23%,-10.57%
3Y (ann.),-4.27%,3.52%,-0.11%,1.78%,4.74%,14.78%,6.12%,2.73%,-1.69%,6.57%,-6.30%
5Y (ann.),4.80%,11.78%,6.06%,5.89%,13.53%,16.10%,13.20%,11.58%,6.15%,11.92%,3.12%
10Y (ann.),3.50%,11.21%,4.71%,4.77%,12.62%,16.97%,11.77%,10.88%,4.51%,10.58%,1.38%
Since Incep. (ann.),3.50%,11.21%,4.71%,4.77%,12.62%,16.97%,11.77%,10.88%,4.51%,10.58%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.64,1.97,0.86,0.87,2.21,2.93,2.06,1.91,0.82,1.86,0.27
Daily Mean (ann.),2.44%,7.40%,3.25%,3.28%,8.27%,10.89%,7.75%,7.20%,3.12%,7.01%,1.02%
Daily Vol (ann.),3.79%,3.76%,3.79%,3.79%,3.75%,3.72%,3.76%,3.76%,3.79%,3.76%,3.80%
Daily Skew,-0.02,0.02,-0.03,0.03,-0.09,0.03,-0.12,-0.04,-0.06,-0.02,-0.01
Daily Kurt,-0.12,-0.14,-0.11,-0.13,-0.07,-0.15,-0.06,-0.10,-0.10,-0.11,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.74%,-0.72%,-0.74%,-0.62%,-0.74%,-0.74%,-0.74%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.41,1.21,0.51,0.51,1.30,1.87,1.25,1.11,0.51,1.12,0.19
Monthly Mean (ann.),4.64%,11.23%,5.35%,5.40%,12.27%,16.56%,11.68%,10.57%,5.70%,10.70%,2.21%
Monthly Vol (ann.),11.44%,9.30%,10.51%,10.65%,9.40%,8.84%,9.31%,9.53%,11.20%,9.58%,11.92%
Monthly Skew,0.57,1.07,0.74,0.77,0.96,0.78,1.05,0.96,0.49,0.97,0.45
Monthly Kurt,-0.06,0.95,0.53,0.38,0.84,0.36,0.87,1.18,0.19,0.82,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.10%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-5.79%,-2.97%,-5.52%,-4.87%,-4.57%,-3.84%,-3.50%,-5.04%,-5.70%,-4.18%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.33,0.61,0.46,0.40,0.71,1.23,0.75,0.54,0.36,0.77,0.23
Yearly Mean,6.62%,12.53%,8.29%,7.48%,13.30%,17.09%,13.30%,12.51%,7.51%,12.48%,5.29%
Yearly Vol,20.03%,20.58%,18.13%,18.52%,18.71%,13.85%,17.82%,23.37%,21.00%,16.26%,22.70%
Yearly Skew,1.56,1.83,1.37,1.81,1.01,0.49,1.96,1.50,1.78,1.38,1.88
Yearly Kurt,2.85,3.83,2.47,3.56,1.38,-0.29,4.18,1.80,3.39,2.62,3.81
Best Year,40.16%,48.03%,38.10%,39.31%,42.58%,36.71%,44.41%,50.87%,43.46%,39.27%,44.58%
Worst Year,-12.07%,-5.43%,-9.70%,-7.37%,-7.29%,0.57%,-1.04%,-4.41%,-8.82%,-4.19%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.60%,-0.83%,-1.58%,-1.62%,-0.88%,-0.69%,-0.86%,-0.82%,-1.40%,-1.09%,-1.75%
Avg. Drawdown Days,36.10,21.64,39.33,52.00,18.82,15.08,23.38,29.47,44.27,30.80,61.80
Avg. Up Month,3.04%,2.52%,2.97%,2.66%,2.69%,2.58%,2.56%,2.50%,2.89%,2.50%,2.87%
Avg. Down Month,-2.19%,-1.30%,-1.71%,-1.97%,-1.18%,-0.97%,-1.27%,-1.25%,-2.02%,-1.37%,-2.58%
Win Year %,40.00%,80.00%,60.00%,60.00%,80.00%,100.00%,80.00%,60.00%,60.00%,80.00%,40.00%
Win 12m %,63.64%,92.73%,78.18%,74.55%,96.36%,100.00%,94.55%,83.64%,76.36%,94.55%,56.36%
