Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),16.75%,13.90%,17.11%,23.47%,23.85%,15.87%,25.28%,19.60%,18.48%,19.83%,-6.30%
5Y (ann.),19.64%,18.29%,19.62%,24.80%,27.54%,20.83%,28.79%,24.42%,20.66%,22.49%,3.12%
10Y (ann.),19.21%,17.66%,18.94%,24.41%,26.95%,19.91%,27.57%,23.54%,19.98%,21.28%,1.38%
Since Incep. (ann.),19.21%,17.66%,18.94%,24.41%,26.95%,19.91%,27.57%,23.54%,19.98%,21.28%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.29,3.04,3.25,4.14,4.56,3.41,4.66,4.00,3.42,3.63,0.27
Daily Mean (ann.),12.20%,11.29%,12.04%,15.14%,16.54%,12.60%,16.87%,14.65%,12.64%,13.38%,1.02%
Daily Vol (ann.),3.70%,3.72%,3.71%,3.66%,3.63%,3.70%,3.62%,3.66%,3.70%,3.69%,3.80%
Daily Skew,-0.06,-0.03,-0.05,-0.02,-0.06,-0.06,-0.06,-0.04,-0.01,-0.06,-0.01
Daily Kurt,-0.08,-0.10,-0.09,-0.11,-0.05,-0.07,-0.06,-0.09,-0.12,-0.06,-0.12
Best Day,0.75%,0.75%,0.73%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.73%,-0.72%,-0.76%,-0.62%,-0.65%,-0.66%,-0.65%,-0.65%,-0.66%,-0.73%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.45,2.10,2.20,2.75,2.98,2.41,3.22,2.86,2.24,2.47,0.19
Monthly Mean (ann.),17.95%,17.03%,18.18%,22.41%,24.50%,19.23%,24.95%,21.92%,18.92%,19.84%,2.21%
Monthly Vol (ann.),7.31%,8.12%,8.25%,8.15%,8.23%,7.98%,7.74%,7.67%,8.44%,8.05%,11.92%
Monthly Skew,1.21,1.05,1.14,0.57,1.05,1.18,0.87,1.06,1.02,1.29,0.45
Monthly Kurt,1.57,0.95,0.94,0.02,0.25,1.15,0.65,1.35,0.59,1.56,-0.31
Best Month,8.45%,8.34%,8.22%,7.99%,8.63%,8.63%,8.63%,8.68%,8.51%,8.63%,8.69%
Worst Month,-1.92%,-3.21%,-1.79%,-2.40%,-1.45%,-1.72%,-1.62%,-2.34%,-1.89%,-1.94%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.35,1.32,1.48,1.87,1.71,1.25,1.80,1.44,1.42,1.72,0.23
Yearly Mean,18.73%,16.49%,19.28%,23.44%,24.83%,19.65%,26.35%,22.80%,19.95%,21.76%,5.29%
Yearly Vol,13.85%,12.49%,13.07%,12.53%,14.51%,15.69%,14.61%,15.88%,14.07%,12.66%,22.70%
Yearly Skew,0.99,1.09,0.21,-0.64,0.91,1.19,-0.55,0.93,0.84,-0.40,1.88
Yearly Kurt,0.79,1.54,-1.73,1.32,0.52,1.33,1.36,2.16,-0.10,1.85,3.81
Best Year,40.22%,36.26%,35.93%,38.81%,47.01%,44.63%,44.64%,47.81%,40.96%,38.48%,44.58%
Worst Year,5.43%,3.31%,3.94%,4.54%,9.99%,4.74%,4.50%,4.02%,5.62%,2.98%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.58%,-0.56%,-0.55%,-0.46%,-0.45%,-0.50%,-0.46%,-0.49%,-0.48%,-0.54%,-1.75%
Avg. Drawdown Days,10.96,11.16,11.30,8.77,8.35,10.40,8.28,9.38,10.59,10.42,61.80
Avg. Up Month,2.24%,2.32%,2.45%,2.65%,2.42%,2.34%,2.55%,2.42%,2.63%,2.30%,2.87%
Avg. Down Month,-0.61%,-0.76%,-0.76%,-0.97%,-0.63%,-0.67%,-0.84%,-0.77%,-0.80%,-0.71%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,98.18%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
