Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-5.35%,2.88%,0.77%,-10.64%,3.55%,-2.36%,-5.39%,0.34%,-2.28%,-2.32%,-10.57%
3Y (ann.),0.30%,-1.99%,0.86%,-4.71%,-0.31%,-3.34%,-1.40%,0.03%,-2.93%,-5.60%,-6.30%
5Y (ann.),-0.92%,-2.81%,2.51%,-5.41%,-0.28%,-3.10%,-2.81%,-2.00%,-2.79%,-3.25%,3.12%
10Y (ann.),-0.75%,-2.94%,1.98%,-4.28%,-0.80%,-2.94%,-2.71%,-2.06%,-3.18%,-2.68%,1.38%
Since Incep. (ann.),-0.75%,-2.94%,1.98%,-4.28%,-0.80%,-2.94%,-2.71%,-2.06%,-3.18%,-2.68%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.12,-0.52,0.37,-0.78,-0.13,-0.52,-0.48,-0.36,-0.57,-0.47,0.27
Daily Mean (ann.),-0.45%,-1.99%,1.42%,-2.94%,-0.48%,-1.99%,-1.83%,-1.36%,-2.16%,-1.80%,1.02%
Daily Vol (ann.),3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%
Daily Skew,0.02,-0.02,0.00,-0.07,0.01,-0.06,0.00,0.02,-0.05,0.04,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.72%,0.75%,0.64%,0.73%,0.71%,0.72%,0.72%,0.75%,0.72%,0.75%
Worst Day,-0.74%,-0.76%,-0.74%,-0.76%,-0.76%,-0.76%,-0.76%,-0.76%,-0.73%,-0.76%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.22,-0.67,0.41,-0.92,-0.20,-0.57,-0.59,-0.50,-0.55,-0.60,0.19
Monthly Mean (ann.),-1.13%,-3.17%,2.12%,-4.80%,-0.90%,-2.90%,-2.57%,-2.21%,-3.01%,-2.83%,2.21%
Monthly Vol (ann.),5.10%,4.75%,5.17%,5.19%,4.54%,5.10%,4.38%,4.37%,5.45%,4.68%,11.92%
Monthly Skew,0.38,-0.60,-0.25,0.38,0.14,-0.29,-0.15,-0.82,-0.09,0.27,0.45
Monthly Kurt,0.22,0.38,-0.07,0.55,0.37,0.25,-0.78,2.15,0.74,0.08,-0.31
Best Month,4.38%,1.72%,3.43%,4.19%,3.46%,3.18%,2.09%,2.64%,3.48%,3.53%,8.69%
Worst Month,-2.98%,-4.74%,-4.00%,-4.23%,-3.75%,-4.37%,-2.90%,-4.90%,-4.39%,-2.92%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-0.07,-0.79,0.68,-0.74,-0.06,-0.96,-1.99,-0.56,-1.18,-1.77,0.23
Yearly Mean,-0.22%,-3.57%,2.42%,-4.40%,-0.20%,-2.44%,-1.77%,-1.64%,-3.03%,-3.10%,5.29%
Yearly Vol,3.10%,4.54%,3.53%,5.99%,3.62%,2.55%,0.89%,2.92%,2.57%,1.76%,22.70%
Yearly Skew,1.41,-0.17,0.06,0.59,-0.75,-0.09,-0.93,0.45,-0.23,-0.18,1.88
Yearly Kurt,1.25,-2.22,-2.84,-0.53,-2.23,-2.84,1.84,-2.89,-0.76,-2.21,3.81
Best Year,4.78%,1.26%,6.01%,4.26%,2.87%,0.14%,-0.74%,1.88%,0.08%,-1.23%,44.58%
Worst Year,-2.48%,-9.25%,-1.50%,-10.37%,-5.10%,-5.32%,-3.17%,-4.33%,-6.52%,-5.30%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.73%,-3.22%,-0.95%,-2.03%,-2.13%,-3.87%,-5.49%,-4.57%,-2.91%,-2.60%,-1.75%
Avg. Drawdown Days,247.50,197.80,37.33,123.00,248.12,248.12,664.67,497.00,220.44,152.08,61.80
Avg. Up Month,1.24%,1.03%,1.23%,1.15%,1.00%,1.05%,0.88%,0.93%,1.37%,1.00%,2.87%
Avg. Down Month,-1.10%,-1.19%,-1.22%,-1.31%,-1.05%,-1.28%,-1.21%,-0.98%,-1.14%,-1.17%,-2.58%
Win Year %,40.00%,40.00%,60.00%,20.00%,60.00%,40.00%,0.00%,40.00%,20.00%,0.00%,40.00%
Win 12m %,49.09%,27.27%,69.09%,21.82%,41.82%,20.00%,23.64%,18.18%,20.00%,23.64%,56.36%
