Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),18.60%,19.59%,18.47%,19.49%,16.78%,16.21%,20.79%,19.19%,19.39%,13.30%,-6.30%
5Y (ann.),23.31%,23.69%,21.59%,23.25%,22.32%,22.36%,23.48%,23.99%,24.48%,18.74%,3.12%
10Y (ann.),21.92%,22.98%,20.48%,22.14%,21.60%,21.55%,21.50%,23.53%,23.87%,18.81%,1.38%
Since Incep. (ann.),21.92%,22.98%,20.48%,22.14%,21.60%,21.55%,21.50%,23.53%,23.87%,18.81%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,3.74,3.91,3.50,3.77,3.68,3.67,3.67,4.00,4.05,3.23,0.27
Daily Mean (ann.),13.75%,14.34%,12.92%,13.87%,13.56%,13.53%,13.51%,14.65%,14.84%,11.96%,1.02%
Daily Vol (ann.),3.68%,3.67%,3.69%,3.68%,3.68%,3.68%,3.68%,3.66%,3.66%,3.71%,3.80%
Daily Skew,0.04,-0.01,-0.01,-0.06,0.01,-0.07,-0.01,-0.05,0.04,-0.05,-0.01
Daily Kurt,-0.17,-0.11,-0.12,-0.06,-0.14,-0.05,-0.12,-0.08,-0.17,-0.08,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.64%,-0.65%,-0.69%,-0.74%,-0.73%,-0.74%,-0.73%,-0.72%,-0.65%,-0.66%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,2.66,2.65,2.31,2.66,2.58,2.55,2.60,2.66,2.89,2.27,0.19
Monthly Mean (ann.),20.69%,21.40%,19.23%,20.45%,20.14%,20.23%,20.19%,21.40%,22.21%,17.67%,2.21%
Monthly Vol (ann.),7.79%,8.08%,8.31%,7.68%,7.82%,7.95%,7.78%,8.04%,7.68%,7.77%,11.92%
Monthly Skew,1.01,1.11,1.08,0.92,1.23,0.97,1.27,1.17,1.25,1.05,0.45
Monthly Kurt,1.25,1.02,0.95,1.39,1.63,1.35,1.50,1.30,1.37,1.73,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.58%,-1.97%,-2.15%,-2.51%,-2.41%,-3.57%,-1.71%,-1.94%,-1.35%,-2.99%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.40,1.42,1.67,1.37,1.36,1.35,1.71,1.29,1.52,1.08,0.23
Yearly Mean,21.46%,22.53%,20.54%,22.74%,21.45%,20.70%,21.97%,23.37%,23.10%,18.43%,5.29%
Yearly Vol,15.37%,15.88%,12.31%,16.62%,15.76%,15.37%,12.87%,18.18%,15.20%,17.07%,22.70%
Yearly Skew,0.09,0.02,-0.23,0.72,0.23,0.34,-0.55,-0.17,-0.21,1.20,1.88
Yearly Kurt,0.22,0.96,1.12,1.89,1.94,1.47,1.78,1.63,1.45,1.44,3.81
Best Year,42.33%,44.47%,36.90%,48.29%,44.39%,43.16%,38.39%,48.18%,43.61%,45.66%,44.58%
Worst Year,1.07%,0.82%,2.96%,2.22%,-0.06%,0.48%,2.57%,-2.71%,1.29%,1.63%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.55%,-0.49%,-0.55%,-0.51%,-0.50%,-0.55%,-0.50%,-0.50%,-0.52%,-0.61%,-1.75%
Avg. Drawdown Days,10.06,9.18,10.59,9.02,11.23,10.33,9.80,9.18,9.77,12.03,61.80
Avg. Up Month,2.36%,2.52%,2.46%,2.30%,2.20%,2.48%,2.22%,2.33%,2.46%,2.30%,2.87%
Avg. Down Month,-0.82%,-0.66%,-0.83%,-1.24%,-0.89%,-0.74%,-0.70%,-0.92%,-0.57%,-0.87%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,80.00%,100.00%,100.00%,80.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
