Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),12.68%,23.41%,24.23%,19.53%,28.85%,18.99%,18.45%,21.10%,22.89%,24.65%,-6.30%
5Y (ann.),19.32%,27.62%,29.12%,26.03%,31.69%,23.72%,24.54%,25.41%,27.53%,27.93%,3.12%
10Y (ann.),17.20%,27.78%,29.17%,25.26%,30.34%,23.25%,23.46%,24.32%,25.95%,28.59%,1.38%
Since Incep. (ann.),17.20%,27.78%,29.17%,25.26%,30.34%,23.25%,23.46%,24.32%,25.95%,28.59%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,2.96,4.69,4.92,4.28,5.11,3.95,3.99,4.13,4.39,4.82,0.27
Daily Mean (ann.),11.02%,16.99%,17.73%,15.61%,18.35%,14.49%,14.61%,15.09%,15.99%,17.42%,1.02%
Daily Vol (ann.),3.72%,3.62%,3.61%,3.65%,3.59%,3.67%,3.67%,3.66%,3.64%,3.61%,3.80%
Daily Skew,-0.07,-0.03,-0.02,-0.02,-0.05,-0.01,-0.04,-0.06,-0.04,-0.03,-0.01
Daily Kurt,-0.07,-0.09,-0.10,-0.11,-0.06,-0.12,-0.09,-0.06,-0.08,-0.09,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.72%,-0.65%,-0.66%,-0.65%,-0.65%,-0.66%,-0.73%,-0.68%,-0.62%,-0.66%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,1.70,3.12,3.17,2.93,3.30,2.45,2.71,2.66,2.95,3.08,0.19
Monthly Mean (ann.),16.45%,25.25%,25.80%,23.04%,27.14%,21.92%,21.93%,22.37%,23.92%,25.71%,2.21%
Monthly Vol (ann.),9.68%,8.09%,8.13%,7.87%,8.23%,8.94%,8.09%,8.41%,8.10%,8.36%,11.92%
Monthly Skew,0.69,0.97,0.95,1.20,0.72,0.78,1.17,0.89,1.06,0.65,0.45
Monthly Kurt,0.14,0.46,0.49,0.89,0.19,0.05,0.86,0.65,0.60,0.12,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.34%,8.69%
Worst Month,-4.04%,-1.02%,-1.58%,-1.23%,-1.79%,-2.33%,-1.55%,-3.23%,-1.08%,-2.05%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.96,1.70,1.54,1.43,1.86,1.40,1.31,1.26,1.74,1.94,0.23
Yearly Mean,19.92%,25.28%,27.10%,23.73%,29.68%,22.31%,22.39%,24.72%,25.69%,26.33%,5.29%
Yearly Vol,20.80%,14.88%,17.61%,16.61%,15.98%,15.94%,17.06%,19.65%,14.77%,13.58%,22.70%
Yearly Skew,1.80,0.69,0.58,-0.25,0.21,0.48,0.76,1.04,0.23,-0.59,1.88
Yearly Kurt,3.69,0.92,1.24,0.82,-0.99,0.20,2.19,1.06,0.43,2.08,3.81
Best Year,55.67%,47.71%,53.45%,45.38%,50.61%,45.19%,48.86%,55.37%,46.49%,43.73%,44.58%
Worst Year,1.82%,7.86%,5.31%,0.06%,9.74%,2.82%,1.24%,3.88%,6.68%,5.66%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.75%,-0.48%,-0.41%,-0.51%,-0.42%,-0.50%,-0.53%,-0.49%,-0.50%,-0.45%,-1.75%
Avg. Drawdown Days,16.10,9.52,7.26,8.97,7.39,9.69,11.11,9.52,9.46,7.48,61.80
Avg. Up Month,2.97%,2.74%,2.76%,2.46%,2.87%,2.69%,2.38%,2.44%,2.53%,2.83%,2.87%
Avg. Down Month,-1.18%,-0.44%,-0.52%,-0.46%,-0.73%,-1.04%,-0.62%,-0.97%,-0.65%,-0.90%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,98.18%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
