Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-33.04%,-28.31%,-27.89%,-37.02%,-26.88%,-30.66%,-33.07%,-30.48%,-30.74%,-31.29%,-10.57%
3Y (ann.),-30.07%,-30.92%,-28.00%,-33.48%,-29.42%,-30.83%,-30.11%,-29.72%,-31.23%,-32.45%,-6.30%
5Y (ann.),-30.68%,-32.27%,-27.10%,-33.15%,-29.36%,-30.93%,-30.91%,-31.88%,-31.40%,-30.91%,3.12%
10Y (ann.),-30.64%,-32.38%,-27.58%,-32.33%,-29.77%,-30.91%,-31.13%,-31.70%,-31.51%,-30.60%,1.38%
Since Incep. (ann.),-30.64%,-32.38%,-27.58%,-32.33%,-29.77%,-30.91%,-31.13%,-31.70%,-31.51%,-30.60%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-6.07,-6.50,-5.36,-6.49,-5.87,-6.14,-6.19,-6.33,-6.28,-6.06,0.27
Daily Mean (ann.),-25.14%,-26.90%,-22.17%,-26.85%,-24.29%,-25.41%,-25.63%,-26.20%,-26.01%,-25.11%,1.02%
Daily Vol (ann.),4.14%,4.14%,4.14%,4.14%,4.14%,4.14%,4.14%,4.14%,4.14%,4.14%,3.80%
Daily Skew,0.06,-0.03,0.01,-0.07,-0.02,-0.07,-0.01,-0.01,-0.02,0.06,-0.01
Daily Kurt,-0.15,-0.15,-0.15,-0.15,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15,-0.12
Best Day,0.75%,0.72%,0.75%,0.63%,0.72%,0.71%,0.72%,0.71%,0.75%,0.72%,0.75%
Worst Day,-0.92%,-0.95%,-0.91%,-0.95%,-0.95%,-0.95%,-0.95%,-0.95%,-0.92%,-0.95%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-6.63,-7.75,-6.24,-7.64,-7.06,-6.95,-7.78,-7.76,-6.70,-7.11,0.19
Monthly Mean (ann.),-35.95%,-38.48%,-31.45%,-38.79%,-34.64%,-35.98%,-36.34%,-37.57%,-37.00%,-35.67%,2.21%
Monthly Vol (ann.),5.42%,4.97%,5.04%,5.08%,4.91%,5.17%,4.67%,4.84%,5.53%,5.02%,11.92%
Monthly Skew,0.47,-0.87,-0.15,0.47,-0.22,-0.23,0.03,-1.08,-0.36,0.40,0.45
Monthly Kurt,0.99,2.04,0.01,0.74,1.45,0.44,-0.54,3.63,1.58,0.18,-0.31
Best Month,2.22%,-0.69%,0.90%,1.64%,0.75%,0.86%,0.16%,0.14%,0.67%,0.62%,8.69%
Worst Month,-6.25%,-8.66%,-6.16%,-6.21%,-7.70%,-7.00%,-6.00%,-8.81%,-8.14%,-6.08%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-4.38,-3.51,-4.78,-3.56,-3.71,-4.55,-4.17,-3.58,-3.96,-4.33,0.23
Yearly Mean,-27.44%,-29.86%,-24.36%,-29.83%,-26.39%,-27.89%,-27.44%,-28.62%,-28.69%,-28.13%,5.29%
Yearly Vol,6.26%,8.51%,5.09%,8.38%,7.11%,6.13%,6.59%,7.99%,7.25%,6.50%,22.70%
Yearly Skew,1.70,1.26,1.86,1.21,1.54,1.46,2.15,1.75,1.98,2.18,1.88
Yearly Kurt,2.78,2.01,3.93,0.50,2.68,3.06,4.69,3.28,3.93,4.81,3.81
Best Year,-16.87%,-16.10%,-15.54%,-16.71%,-14.52%,-17.67%,-15.75%,-14.99%,-16.05%,-16.56%,44.58%
Worst Year,-32.07%,-38.57%,-28.72%,-36.81%,-32.64%,-34.16%,-31.37%,-34.49%,-33.11%,-32.11%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-29.14%,-88.34%,-82.99%,-88.43%,-85.55%,-86.80%,-87.05%,-44.09%,-44.03%,-86.46%,-1.75%
Avg. Drawdown Days,664.33,1996.00,1997.00,1992.00,1998.00,1997.00,1998.00,996.00,998.00,1998.00,61.80
Avg. Up Month,2.22%,-,0.51%,1.64%,0.62%,0.86%,0.16%,0.14%,0.32%,0.38%,2.87%
Avg. Down Month,-3.08%,-3.21%,-2.72%,-3.31%,-3.00%,-3.06%,-3.08%,-3.18%,-3.25%,-3.13%,-2.58%
Win Year %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%
Win 12m %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.36%
