Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-14.30%,-10.29%,-7.15%,-13.38%,-15.31%,-12.45%,-10.69%,-16.43%,-8.56%,-9.22%,-10.57%
3Y (ann.),-9.69%,-6.09%,-7.15%,-7.27%,-9.55%,-7.15%,-7.88%,-7.05%,-5.10%,-5.03%,-6.30%
5Y (ann.),1.39%,2.49%,0.55%,1.83%,0.44%,1.00%,-0.04%,1.16%,2.60%,1.46%,3.12%
10Y (ann.),-0.49%,0.62%,-0.85%,-0.56%,-0.59%,-0.71%,-1.43%,-0.45%,0.92%,-0.10%,1.38%
Since Incep. (ann.),-0.49%,0.62%,-0.85%,-0.56%,-0.59%,-0.71%,-1.43%,-0.45%,0.92%,-0.10%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.07,0.13,-0.13,-0.08,-0.09,-0.11,-0.24,-0.06,0.19,0.00,0.27
Daily Mean (ann.),-0.26%,0.50%,-0.52%,-0.32%,-0.33%,-0.42%,-0.92%,-0.23%,0.71%,0.00%,1.02%
Daily Vol (ann.),3.83%,3.81%,3.84%,3.83%,3.83%,3.83%,3.85%,3.83%,3.81%,3.82%,3.80%
Daily Skew,0.00,-0.01,-0.03,-0.00,0.01,-0.03,-0.04,-0.03,-0.02,0.01,-0.01
Daily Kurt,-0.14,-0.12,-0.10,-0.14,-0.16,-0.09,-0.09,-0.09,-0.11,-0.17,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.74%,-0.74%,-0.78%,-0.83%,-0.79%,-0.74%,-0.83%,-0.78%,-0.74%,-0.81%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.05,0.12,-0.01,0.03,0.02,0.01,-0.06,0.02,0.15,0.08,0.19
Monthly Mean (ann.),0.61%,1.35%,-0.11%,0.31%,0.20%,0.12%,-0.73%,0.28%,1.75%,0.87%,2.21%
Monthly Vol (ann.),12.22%,11.29%,11.82%,11.72%,11.92%,11.49%,11.57%,11.85%,11.85%,11.55%,11.92%
Monthly Skew,0.53,0.73,0.67,0.71,0.67,0.80,0.61,0.64,0.58,0.65,0.45
Monthly Kurt,-0.29,0.19,0.14,0.09,-0.12,0.21,0.11,-0.01,-0.03,0.07,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.26%,-4.78%,-6.46%,-5.97%,-5.73%,-5.19%,-6.25%,-5.53%,-5.98%,-5.84%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.15,0.19,0.15,0.17,0.14,0.15,0.08,0.18,0.24,0.18,0.23
Yearly Mean,3.39%,4.05%,3.30%,3.52%,3.21%,3.33%,1.44%,3.94%,5.23%,3.73%,5.29%
Yearly Vol,22.51%,21.18%,21.97%,21.03%,23.28%,21.58%,16.91%,21.84%,21.67%,20.42%,22.70%
Yearly Skew,1.87,1.93,1.94,1.83,1.79,1.99,1.76,1.73,1.91,1.71,1.88
Yearly Kurt,3.76,4.05,3.84,3.67,3.63,4.22,3.33,3.65,3.93,2.92,3.81
Best Year,42.29%,40.93%,41.47%,39.73%,43.19%,41.09%,30.32%,41.30%,42.85%,38.31%,44.58%
Worst Year,-14.70%,-12.77%,-12.09%,-13.72%,-16.86%,-13.07%,-12.27%,-16.34%,-11.80%,-12.24%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.97%,-1.86%,-2.40%,-2.33%,-1.99%,-2.32%,-2.68%,-2.07%,-1.96%,-2.63%,-1.75%
Avg. Drawdown Days,59.87,66.82,85.77,89.57,64.14,85.86,90.62,78.21,81.57,90.14,61.80
Avg. Up Month,3.48%,3.03%,3.14%,2.97%,3.00%,2.69%,3.17%,3.02%,3.15%,2.93%,2.87%
Avg. Down Month,-2.38%,-2.09%,-2.24%,-2.35%,-2.54%,-2.43%,-2.22%,-2.39%,-2.28%,-2.38%,-2.58%
Win Year %,40.00%,40.00%,40.00%,40.00%,40.00%,20.00%,40.00%,20.00%,60.00%,40.00%,40.00%
Win 12m %,43.64%,56.36%,50.91%,49.09%,45.45%,49.09%,50.91%,52.73%,56.36%,58.18%,56.36%
