Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-2.19%,4.41%,3.73%,-8.28%,4.71%,-0.25%,-3.79%,4.33%,0.58%,-0.57%,-10.57%
3Y (ann.),2.26%,-1.39%,3.61%,-2.95%,0.99%,-1.51%,0.29%,2.39%,-0.81%,-3.66%,-6.30%
5Y (ann.),1.10%,-1.34%,4.30%,-3.72%,1.16%,-1.46%,-1.25%,0.27%,-0.91%,-1.26%,3.12%
10Y (ann.),1.26%,-1.44%,3.83%,-2.66%,0.75%,-1.25%,-1.11%,0.16%,-1.32%,-0.78%,1.38%
Since Incep. (ann.),1.26%,-1.44%,3.83%,-2.66%,0.75%,-1.25%,-1.11%,0.16%,-1.32%,-0.78%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.25,-0.24,0.70,-0.47,0.16,-0.21,-0.18,0.05,-0.22,-0.12,0.27
Daily Mean (ann.),0.94%,-0.93%,2.67%,-1.79%,0.59%,-0.80%,-0.70%,0.19%,-0.85%,-0.47%,1.02%
Daily Vol (ann.),3.80%,3.80%,3.79%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%,3.80%
Daily Skew,0.02,-0.03,-0.02,-0.07,0.00,-0.06,0.02,0.02,-0.05,0.04,-0.01
Daily Kurt,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
Best Day,0.75%,0.72%,0.75%,0.65%,0.74%,0.71%,0.73%,0.73%,0.75%,0.73%,0.75%
Worst Day,-0.74%,-0.75%,-0.74%,-0.75%,-0.75%,-0.75%,-0.75%,-0.75%,-0.73%,-0.75%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.17,-0.35,0.75,-0.60,0.14,-0.23,-0.21,0.01,-0.21,-0.20,0.19
Monthly Mean (ann.),0.85%,-1.65%,3.92%,-3.13%,0.62%,-1.19%,-0.95%,0.04%,-1.11%,-0.92%,2.21%
Monthly Vol (ann.),4.97%,4.70%,5.22%,5.21%,4.33%,5.18%,4.43%,4.34%,5.39%,4.58%,11.92%
Monthly Skew,0.32,-0.55,-0.37,0.32,0.16,-0.32,-0.20,-0.87,-0.15,0.28,0.45
Monthly Kurt,0.45,0.35,0.26,0.54,0.45,0.18,-0.73,2.18,0.79,0.13,-0.31
Best Month,4.50%,2.40%,3.57%,4.32%,3.60%,3.31%,2.19%,2.78%,3.66%,3.69%,8.69%
Worst Month,-2.80%,-4.53%,-3.88%,-4.12%,-3.46%,-4.27%,-2.97%,-4.69%,-4.22%,-2.78%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.62,-0.51,1.23,-0.48,0.28,-0.38,-0.47,0.14,-0.47,-0.94,0.23
Yearly Mean,1.71%,-2.28%,3.99%,-2.94%,0.90%,-0.97%,-0.46%,0.45%,-1.34%,-1.28%,5.29%
Yearly Vol,2.74%,4.48%,3.25%,6.09%,3.21%,2.56%,0.98%,3.30%,2.85%,1.36%,22.70%
Yearly Skew,1.71,-0.46,0.85,1.05,-0.60,-0.01,-0.63,0.64,-0.07,0.50,1.88
Yearly Kurt,3.39,-2.70,0.38,0.60,-3.00,-2.57,0.22,-2.59,-1.25,-0.65,3.81
Best Year,6.37%,2.02%,8.93%,6.50%,3.62%,2.05%,0.69%,4.73%,2.30%,0.67%,44.58%
Worst Year,-0.74%,-7.82%,1.02%,-8.60%,-3.03%,-3.63%,-1.89%,-2.36%,-4.89%,-2.71%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-1.03%,-2.17%,-0.89%,-1.33%,-1.68%,-1.92%,-2.48%,-3.12%,-1.88%,-1.41%,-1.75%
Avg. Drawdown Days,67.00,151.54,29.39,98.10,123.25,115.88,498.25,496.75,198.00,81.42,61.80
Avg. Up Month,1.25%,1.01%,1.34%,1.13%,1.06%,1.12%,0.98%,0.91%,1.26%,1.07%,2.87%
Avg. Down Month,-1.00%,-1.18%,-1.11%,-1.31%,-0.92%,-1.21%,-1.17%,-0.99%,-1.12%,-1.06%,-2.58%
Win Year %,80.00%,40.00%,100.00%,20.00%,60.00%,40.00%,20.00%,40.00%,20.00%,20.00%,40.00%
Win 12m %,78.18%,38.18%,85.45%,29.09%,50.91%,38.18%,41.82%,38.18%,40.00%,50.91%,56.36%
