Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
3Y (ann.),26.78%,25.57%,27.34%,26.19%,27.91%,19.69%,27.15%,25.30%,22.59%,27.64%,-6.30%
5Y (ann.),30.24%,29.13%,33.53%,29.73%,31.68%,24.50%,30.48%,30.63%,29.26%,29.62%,3.12%
10Y (ann.),29.87%,29.32%,32.48%,28.58%,31.23%,23.98%,29.05%,29.52%,28.60%,29.83%,1.38%
Since Incep. (ann.),29.87%,29.32%,32.48%,28.58%,31.23%,23.98%,29.05%,29.52%,28.60%,29.83%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,5.00,4.91,5.42,4.79,5.22,4.05,4.87,4.94,4.79,4.99,0.27
Daily Mean (ann.),18.11%,17.81%,19.48%,17.42%,18.82%,14.90%,17.67%,17.92%,17.43%,18.08%,1.02%
Daily Vol (ann.),3.62%,3.63%,3.59%,3.64%,3.61%,3.68%,3.63%,3.63%,3.63%,3.62%,3.80%
Daily Skew,-0.00,-0.01,0.02,-0.11,-0.04,0.00,-0.05,-0.08,-0.07,-0.06,-0.01
Daily Kurt,-0.13,-0.11,-0.15,0.00,-0.07,-0.13,-0.06,-0.03,-0.04,-0.05,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.65%,-0.63%,-0.65%,-0.66%,-0.65%,-0.65%,-0.65%,-0.66%,-0.65%,-0.65%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,3.46,3.12,3.64,3.35,3.60,2.63,3.39,3.26,3.30,3.30,0.19
Monthly Mean (ann.),26.61%,26.23%,28.47%,25.61%,27.72%,22.26%,26.43%,26.54%,25.60%,26.61%,2.21%
Monthly Vol (ann.),7.70%,8.41%,7.82%,7.65%,7.70%,8.45%,7.81%,8.15%,7.76%,8.08%,11.92%
Monthly Skew,0.98,0.88,0.99,1.24,0.81,0.77,1.01,0.95,1.19,0.84,0.45
Monthly Kurt,0.99,0.11,0.54,0.88,0.73,0.04,0.73,0.38,0.79,0.29,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-2.44%,-1.34%,-1.62%,-1.21%,-1.56%,-1.88%,-1.81%,-1.59%,-0.90%,-1.52%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,1.63,1.81,1.89,1.70,1.83,1.37,1.74,1.56,1.56,1.93,0.23
Yearly Mean,27.30%,26.92%,30.02%,27.66%,29.74%,24.50%,27.82%,28.64%,26.72%,27.69%,5.29%
Yearly Vol,16.77%,14.88%,15.88%,16.27%,16.25%,17.85%,15.96%,18.41%,17.18%,14.36%,22.70%
Yearly Skew,-0.07,-0.05,0.16,-0.22,0.58,0.31,-0.04,0.68,0.85,-0.62,1.88
Yearly Kurt,0.22,-0.01,1.04,-0.78,1.22,1.47,-1.10,0.13,1.99,0.40,3.81
Best Year,49.61%,46.65%,52.45%,46.98%,54.01%,50.48%,48.35%,55.75%,53.51%,44.40%,44.58%
Worst Year,4.57%,7.04%,8.72%,5.46%,9.54%,0.85%,7.82%,7.66%,6.11%,6.48%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-0.43%,-0.43%,-0.37%,-0.45%,-0.41%,-0.50%,-0.45%,-0.44%,-0.43%,-0.42%,-1.75%
Avg. Drawdown Days,7.67,7.51,6.30,7.45,6.95,10.69,8.45,7.32,7.47,7.39,61.80
Avg. Up Month,2.61%,2.85%,2.72%,2.32%,2.80%,2.62%,2.56%,2.67%,2.57%,2.64%,2.87%
Avg. Down Month,-0.60%,-0.48%,-0.49%,-0.65%,-0.75%,-0.95%,-0.73%,-0.63%,-0.27%,-0.80%,-2.58%
Win Year %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%
Win 12m %,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,56.36%
