Stat,experiment4,experiment8,experiment9,experiment1,experiment6,experiment2,experiment3,experiment0,experiment5,experiment7,Buy and Hold
1Y,-12.03%,-11.30%,-10.46%,-12.40%,-12.31%,-10.94%,-11.74%,-11.76%,-10.84%,-11.63%,-10.57%
3Y (ann.),-7.91%,-7.89%,-8.04%,-8.31%,-7.25%,-7.73%,-7.91%,-8.16%,-7.12%,-8.01%,-6.30%
5Y (ann.),0.83%,1.73%,1.93%,1.82%,1.60%,1.72%,2.04%,1.59%,1.87%,1.61%,3.12%
10Y (ann.),-1.03%,0.09%,0.34%,-0.16%,0.02%,-0.27%,0.21%,-0.17%,0.20%,-0.23%,1.38%
Since Incep. (ann.),-1.03%,0.09%,0.34%,-0.16%,0.02%,-0.27%,0.21%,-0.17%,0.20%,-0.23%,1.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.16,0.04,0.08,-0.01,0.02,-0.03,0.06,-0.01,0.05,-0.02,0.27
Daily Mean (ann.),-0.64%,0.14%,0.30%,-0.03%,0.09%,-0.11%,0.22%,-0.04%,0.21%,-0.08%,1.02%
Daily Vol (ann.),3.90%,3.85%,3.84%,3.87%,3.86%,3.87%,3.85%,3.87%,3.85%,3.87%,3.80%
Daily Skew,-0.08,-0.06,-0.09,-0.05,-0.05,-0.07,-0.04,-0.06,-0.05,-0.05,-0.01
Daily Kurt,-0.04,-0.03,0.10,-0.09,-0.08,-0.03,-0.10,-0.05,-0.07,-0.09,-0.12
Best Day,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%
Worst Day,-0.87%,-0.93%,-0.96%,-0.80%,-0.79%,-0.92%,-0.74%,-0.82%,-0.83%,-0.79%,-0.74%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-0.01,0.07,0.09,0.05,0.07,0.04,0.10,0.06,0.08,0.05,0.19
Monthly Mean (ann.),-0.14%,0.89%,1.14%,0.64%,0.81%,0.53%,1.19%,0.75%,1.04%,0.57%,2.21%
Monthly Vol (ann.),12.35%,12.24%,12.25%,12.21%,12.17%,12.30%,12.25%,12.44%,12.26%,12.23%,11.92%
Monthly Skew,0.49,0.49,0.50,0.50,0.52,0.47,0.49,0.41,0.48,0.49,0.45
Monthly Kurt,-0.16,-0.17,-0.27,-0.16,-0.19,-0.22,-0.21,-0.23,-0.19,-0.18,-0.31
Best Month,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.63%,8.69%
Worst Month,-6.40%,-6.63%,-6.03%,-6.03%,-6.03%,-6.03%,-6.46%,-6.86%,-6.86%,-6.03%,-6.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.17,0.18,0.19,0.18,0.20,0.17,0.19,0.18,0.19,0.17,0.23
Yearly Mean,3.90%,4.19%,4.38%,4.13%,4.73%,3.96%,4.38%,4.10%,4.25%,3.79%,5.29%
Yearly Vol,23.07%,23.19%,23.30%,23.41%,23.36%,22.97%,22.89%,23.33%,22.62%,22.17%,22.70%
Yearly Skew,2.00,1.81,1.94,1.95,1.81,1.92,1.79,1.74,1.90,1.93,1.88
Yearly Kurt,4.20,3.52,3.98,4.02,3.66,3.93,3.46,3.27,3.87,4.00,3.81
Best Year,44.28%,44.01%,44.91%,44.91%,44.91%,43.86%,43.63%,43.86%,43.47%,42.36%,44.58%
Worst Year,-13.02%,-13.86%,-13.05%,-13.16%,-14.84%,-13.51%,-13.05%,-14.31%,-13.42%,-13.30%,-12.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-2.09%,-2.00%,-1.90%,-1.97%,-1.78%,-1.87%,-2.00%,-2.01%,-2.10%,-2.16%,-1.75%
Avg. Drawdown Days,72.38,64.17,61.83,62.10,66.68,66.61,66.61,64.28,69.11,69.15,61.80
Avg. Up Month,3.04%,3.31%,3.17%,2.96%,2.98%,3.07%,3.26%,3.15%,3.21%,3.06%,2.87%
Avg. Down Month,-2.63%,-2.37%,-2.54%,-2.59%,-2.59%,-2.55%,-2.44%,-2.58%,-2.43%,-2.53%,-2.58%
Win Year %,20.00%,40.00%,40.00%,40.00%,40.00%,40.00%,60.00%,60.00%,40.00%,20.00%,40.00%
Win 12m %,45.45%,52.73%,47.27%,49.09%,54.55%,54.55%,52.73%,50.91%,54.55%,47.27%,56.36%
